Phone timestamp;RR-interval [ms]
2026-04-07T18:43:32.925;613
2026-04-07T18:43:33.538;7272
2026-04-07T18:43:32.220;1155
2026-04-07T18:43:33.375;571
2026-04-07T18:43:33.946;1997
2026-04-07T18:43:35.943;5629
2026-04-07T18:43:37.277;3166
2026-04-07T18:43:36.148;265
2026-04-07T18:43:36.413;832
2026-04-07T18:43:37.245;561
2026-04-07T18:43:37.806;568
2026-04-07T18:43:38.374;287
2026-04-07T18:43:38.661;481
2026-04-07T18:43:39.142;296
2026-04-07T18:43:39.438;590
2026-04-07T18:43:40.028;2367
2026-04-07T18:43:38.100;1196
2026-04-07T18:43:39.296;6460
2026-04-07T18:43:37.166;1982
2026-04-07T18:43:39.148;1877
2026-04-07T18:43:41.025;3121
2026-04-07T18:43:39.851;17960
2026-04-07T18:43:40.631;352
2026-04-07T18:43:40.983;358
2026-04-07T18:43:41.341;261
2026-04-07T18:43:41.602;5007
2026-04-07T18:43:42.314;4973
2026-04-07T18:43:42.992;5546
2026-04-07T18:43:44.243;8253
2026-04-07T18:43:43.906;774
2026-04-07T18:43:44.680;6498
2026-04-07T18:43:42.588;362
2026-04-07T18:43:42.950;399
2026-04-07T18:43:43.349;945
2026-04-07T18:43:44.294;1042
2026-04-07T18:43:45.336;2515
2026-04-07T18:43:43.556;318
2026-04-07T18:43:43.874;303
2026-04-07T18:43:44.177;2790
2026-04-07T18:43:42.672;312
2026-04-07T18:43:42.984;311
2026-04-07T18:43:43.295;2587
2026-04-07T18:43:41.587;960
2026-04-07T18:43:42.547;631
2026-04-07T18:43:43.178;2295
2026-04-07T18:43:41.178;894
2026-04-07T18:43:42.072;1521
2026-04-07T18:43:43.593;2015
2026-04-07T18:43:45.608;3020
2026-04-07T18:43:44.333;4633
2026-04-07T18:43:44.671;3647
2026-04-07T18:43:44.023;2308
2026-04-07T18:43:42.036;1314
2026-04-07T18:43:43.350;1784
2026-04-07T18:43:45.134;5751
2026-04-07T18:43:46.590;31732
2026-04-07T18:43:48.258;1060
2026-04-07T18:43:49.318;1155
2026-04-07T18:43:50.473;428
2026-04-07T18:43:50.901;1829
2026-04-07T18:43:52.730;457
2026-04-07T18:43:53.187;1173
2026-04-07T18:43:54.360;348
2026-04-07T18:43:54.708;18482
2026-04-07T18:43:56.010;256
2026-04-07T18:43:56.266;39652
2026-04-07T18:43:57.263;39494
2026-04-07T18:43:58.102;497
2026-04-07T18:43:58.599;509
2026-04-07T18:43:59.108;8035
2026-04-07T18:43:58.553;40003
2026-04-07T18:43:59.902;31652
2026-04-07T18:44:01.489;485
2026-04-07T18:44:01.974;7797
2026-04-07T18:44:01.181;30880
2026-04-07T18:44:01.996;721
2026-04-07T18:44:02.717;437
2026-04-07T18:44:03.154;503
2026-04-07T18:44:03.657;7399
2026-04-07T18:44:02.466;30899
2026-04-07T18:44:03.301;776
2026-04-07T18:44:04.077;513
2026-04-07T18:44:04.590;507
2026-04-07T18:44:05.097;7239
2026-04-07T18:44:03.746;19220
2026-04-07T18:44:05.786;11651
2026-04-07T18:44:04.552;1474
2026-04-07T18:44:06.026;7585
2026-04-07T18:44:05.021;31717
2026-04-07T18:44:06.673;261
2026-04-07T18:44:06.934;740
2026-04-07T18:44:07.674;7284
2026-04-07T18:44:06.368;30873
2026-04-07T18:44:07.176;963
2026-04-07T18:44:08.139;507
2026-04-07T18:44:08.646;506
2026-04-07T18:44:09.152;15159
2026-04-07T18:44:07.132;23414
2026-04-07T18:44:09.071;490
2026-04-07T18:44:09.561;502
2026-04-07T18:44:10.063;504
2026-04-07T18:44:10.567;6957
2026-04-07T18:44:08.934;31845
2026-04-07T18:44:10.714;1008
2026-04-07T18:44:11.722;7081
2026-04-07T18:44:10.213;31752
2026-04-07T18:44:11.900;276
2026-04-07T18:44:12.176;1015
2026-04-07T18:44:13.191;6964
2026-04-07T18:44:11.565;30826
2026-04-07T18:44:12.327;9045
2026-04-07T18:44:12.782;30921
2026-04-07T18:44:13.638;603
2026-04-07T18:44:14.241;1010
2026-04-07T18:44:15.251;7459
2026-04-07T18:44:14.120;30895
2026-04-07T18:44:14.950;714
2026-04-07T18:44:15.664;8335
2026-04-07T18:44:15.409;30860
2026-04-07T18:44:16.204;1949
2026-04-07T18:44:18.153;7120
2026-04-07T18:44:16.684;30905
2026-04-07T18:44:17.524;1257
2026-04-07T18:44:18.781;1011
2026-04-07T18:44:19.792;6773
2026-04-07T18:44:17.975;31801
2026-04-07T18:44:19.711;378
2026-04-07T18:44:20.089;636
2026-04-07T18:44:20.725;503
2026-04-07T18:44:21.228;6676
2026-04-07T18:44:19.314;31596
2026-04-07T18:44:20.845;319
2026-04-07T18:44:21.164;501
2026-04-07T18:44:21.665;503
2026-04-07T18:44:22.168;6951
2026-04-07T18:44:20.529;668
2026-04-07T18:44:21.197;4083
2026-04-07T18:44:20.985;1609
2026-04-07T18:44:22.594;5088
2026-04-07T18:44:23.387;635
2026-04-07T18:44:24.022;305
2026-04-07T18:44:24.327;1220
2026-04-07T18:44:25.547;333
2026-04-07T18:44:25.880;284
