t_offset_ms,bpm,breathing_rpm
529436,75,
530395,75,
531356,76,
532314,77,
533275,79,
534234,80,
535196,82,
536154,83,
537115,84,
538077,84,
539998,84,
540001,83,
541436,83,
542397,83,
543356,83,
544317,85,
545275,85,
546237,87,
547194,88,
548156,89,
549115,89,
550077,90,
551034,91,
551995,91,
553435,91,
554396,92,
555356,92,
556315,93,
557275,94,
558235,95,
559197,96,
560158,97,
561115,97,
562075,98,
563037,98,
563995,99,
565434,99,
566396,100,
568315,101,
568318,101,
569277,101,
570235,101,
571195,101,
572158,101,
573115,101,
574076,98,
575036,97,
575996,94,
577437,92,
578393,92,
579356,92,
580314,92,
581276,92,
582234,93,
583197,94,
584156,95,
585115,95,
587035,96,
587041,97,
587996,99,
589435,100,
590396,102,
591358,103,
592316,105,
593275,106,
594235,107,
595195,108,
596154,109,
598076,110,
598080,112,
599035,113,
599996,115,
601437,115,
602396,116,
603357,117,
604317,117,
605278,118,
606235,118,
607195,119,
608156,119,
609115,119,
610079,120,
611035,120,
611997,121,
613436,121,
614397,121,
615358,122,
616316,122,
617278,122,
618235,122,
619197,122,
620156,122,
621117,123,
622076,123,
623038,123,
624960,123,
625436,123,
626396,123,
627357,124,
628321,124,
629275,124,
630237,125,
631194,125,
633118,126,
633121,126,
634076,126,
635037,126,
635997,126,
637436,127,
638395,127,
639355,127,
640317,127,
641276,127,
642234,127,
643198,127,
644156,127,
645115,127,
646076,127,
647037,127,
648957,127,
649435,127,
650397,127,
651357,127,
652313,127,
653276,127,
654237,127,
655197,127,
656156,128,
657116,128,
658075,128,
659035,128,
659995,128,
661436,128,
662398,128,
663356,128,
664317,128,
665277,128,
666237,128,
668157,128,
668160,128,
669119,128,
670077,129,
671996,129,
672000,129,
673439,129,
674876,129,
675354,129,
676315,130,
677277,130,
678237,130,
679196,130,
681115,130,
682076,130,
683034,130,
683040,130,
683994,130,
685436,130,
686396,130,
687353,130,
688315,130,
689277,131,
690235,131,
691195,131,
692155,131,
693116,131,
694076,131,
695036,132,
695994,132,
697436,132,
698398,132,
699359,133,
700315,133,
701275,133,
702236,133,
703196,133,
704156,133,
705116,133,
706076,134,
707036,134,
708957,134,
709436,135,
710395,135,
711357,135,
712315,135,
713277,135,
714235,135,
715198,136,
716155,136,
717116,136,
719036,137,
719040,137,
719995,137,
721435,137,
722397,137,
723356,137,
724317,137,
725276,138,
726236,138,
728157,138,
728161,138,
729117,138,
730076,138,
731035,138,
731997,138,
733437,138,
734396,138,
735359,138,
736315,138,
737277,138,
738235,138,
739199,138,
740156,138,
741115,138,
742077,138,
743997,138,
744000,138,
745436,138,
746399,138,
747357,138,
748315,138,
749278,138,
750236,139,
751196,139,
752156,139,
753115,139,
754075,139,
755041,139,
755996,139,
757435,139,
758397,139,
759356,139,
760315,139,
761275,138,
762239,139,
763193,138,
764153,139,
766077,138,
766081,138,
767037,138,
768953,138,
769434,138,
770393,138,
771357,138,
772314,138,
773278,138,
774235,138,
775197,138,
776155,138,
777118,138,
778078,138,
779035,138,
779994,138,
781437,139,
782397,139,
783356,139,
784317,138,
785278,138,
786235,138,
787675,138,
788159,138,
789113,138,
790075,138,
791037,138,
791997,137,
793435,137,
794396,137,
795357,137,
796315,137,
797275,137,
798238,136,
799197,136,
800156,136,
801116,136,
802077,136,
803995,136,
803999,136,
805437,136,
806397,136,
807357,137,
808313,137,
809275,137,
810234,137,
811195,137,
813116,137,
813120,137,
814076,137,
815038,137,
815995,137,
817436,137,
818396,138,
819356,138,
820317,138,
821275,138,
822236,138,
823197,138,
824156,138,
825115,138,
826075,138,
827037,138,
827995,138,
829437,138,
830399,138,
831356,138,
832316,138,
833277,137,
834236,137,
835194,137,
836155,137,
838076,137,
838081,137,
839036,137,
839994,137,
841436,137,
842396,136,
843356,136,
844316,136,
845277,135,
846235,135,
848156,135,
848161,135,
849117,135,
851038,135,
851041,135,
851997,135,
853436,135,
854397,136,
855355,136,
856317,136,
857276,136,
858236,137,
860156,137,
860159,137,
861115,137,
862073,137,
863996,136,
864000,137,
865436,136,
866396,136,
867357,136,
868314,136,
869275,137,
870235,137,
871194,137,
872154,137,
873113,137,
874074,137,
875037,137,
875996,137,
877437,137,
878397,137,
879358,138,
880315,137,
881276,138,
882233,137,
883196,137,
884156,137,
885116,137,
886077,137,
887039,137,
887996,138,
889433,137,
890395,138,
891356,138,
892315,138,
893275,138,
894241,138,
895195,138,
896155,138,
898076,138,
898080,138,
899038,138,
899997,138,
901440,138,
902397,138,
903359,138,
904317,138,
905276,138,
906233,138,
907197,138,
908156,138,
909115,138,
910076,138,
911038,139,
911995,139,
913435,139,
914397,140,
915355,140,
916314,140,
917277,140,
918235,140,
919196,140,
920156,141,
921115,141,
922078,141,
923035,141,
923995,141,
925437,141,
926396,141,
927357,141,
928316,141,
929276,141,
930235,141,
931197,141,
932156,141,
933116,141,
934077,140,
935037,140,
935995,140,
937442,140,
938395,139,
939358,139,
940315,139,
941275,139,
942236,139,
943196,139,
945116,139,
945120,139,
946076,139,
947037,139,
947996,139,
949436,139,
950397,140,
951360,140,
952315,140,
953276,140,
954236,140,
955196,141,
956156,141,
957116,141,
958077,141,
959035,141,
959997,141,
961438,142,
962395,142,
963356,142,
964317,142,
965276,142,
966236,142,
968157,142,
968161,142,
969117,143,
970076,143,
971036,143,
971996,143,
973435,143,
974399,143,
975353,144,
976317,144,
977276,144,
978237,144,
979193,144,
980156,144,
981116,144,
983037,144,
983040,144,
983996,144,
985436,144,
986397,144,
987357,144,
988315,144,
989280,144,
990236,144,
992159,144,
992164,144,
993115,144,
994079,144,
995035,144,
995996,144,
997437,144,
998395,144,
999357,143,
1000317,144,
1001276,143,
1002235,144,
1003195,144,
1004157,144,
1005115,144,
1006076,144,
1007036,143,
1007995,144,
1009437,144,
1010395,144,
1011356,143,
1012317,143,
1013275,143,
1014237,143,
1015197,143,
1016156,143,
1017116,143,
1018076,143,
1019036,143,
1019999,142,
1021436,143,
1022399,142,
1023357,142,
1024315,142,
1025276,142,
1026237,142,
1027675,142,
1028159,142,
1030077,142,
1030080,142,
1031037,142,
1031996,142,
1033436,142,
1034395,142,
1035356,142,
1036316,142,
1037275,142,
1038236,142,
1039196,141,
1040156,141,
1041115,141,
1042077,141,
1043037,141,
1043994,141,
1045436,141,
1046393,141,
1047353,141,
1048313,141,
1049273,141,
1050234,141,
1051194,141,
1053115,141,
1053121,141,
1054077,141,
1055033,141,
1055996,141,
1057436,141,
1058395,141,
1059356,141,
1060315,141,
1061276,141,
1062237,141,
1063196,141,
1064157,141,
1065116,141,
1066076,141,
1067035,141,
1067997,141,
1069439,141,
1070395,141,
1071357,140,
1072316,141,
1073275,140,
1074237,140,
1075197,140,
1077116,140,
1077122,140,
1078073,140,
1079035,140,
1079997,140,
1081436,140,
1082399,141,
1083355,141,
1084314,141,
1085279,141,
1086235,141,
1087196,141,
1088157,141,
1089116,141,
1090076,141,
1091035,141,
1091995,141,
1093435,141,
1094396,141,
1095358,141,
1096316,142,
1097275,142,
1098235,142,
1099195,142,
1100157,142,
1101117,142,
1102077,141,
1103036,141,
1103996,141,
1105437,141,
1106395,141,
1107355,141,
1108316,141,
1109274,141,
1110237,141,
1111196,141,
1112156,141,
1113117,141,
1114079,141,
1115036,141,
1115996,141,
1117437,141,
1118395,141,
1119357,141,
1120319,141,
1121275,141,
1122237,141,
1124155,141,
1124161,141,
1125116,141,
1126075,141,
1127036,141,
1127997,141,
1129438,141,
1130395,141,
1131357,141,
1132316,141,
1133276,141,
1134235,141,
1135196,141,
1136157,141,
1137116,142,
1138076,142,
1139037,142,
1139995,142,
1141437,142,
1142398,142,
1143356,142,
1144316,142,
1145277,142,
1146236,142,
1147197,142,
1148157,143,
1149116,142,
1150076,143,
1151035,143,
1151997,142,
1153436,143,
1154396,142,
1155356,143,
1156316,143,
1157276,143,
1158237,143,
1159196,143,
1160157,143,
1161116,143,
1162076,143,
1163037,143,
1163995,143,
1165437,143,
1166398,143,
1167356,143,
1168315,143,
1169273,143,
1170237,143,
1171196,143,
1173115,143,
1173118,143,
1174076,143,
1175035,143,
1175996,143,
1177437,143,
1178396,142,
1179357,142,
1180315,142,
1181277,143,
1182237,142,
1183198,142,
1184157,143,
1185115,143,
1186078,143,
1187036,143,
1188953,143,
1189433,144,
1190394,144,
1191357,145,
1192315,145,
1193275,145,
1194235,145,
1195194,145,
1196154,145,
1197116,142,
1198075,140,
1199035,140,
1199993,140,
1201435,139,
1202399,138,
1203357,138,
1204315,138,
1205273,138,
1206233,138,
1208154,138,
1208155,138,
1209115,139,
1210077,139,
1211039,140,
1211996,141,
1213436,141,
1214399,141,
1215356,141,
1216317,142,
1217277,142,
1218236,142,
1219196,142,
1220158,142,
1221116,143,
1222075,143,
1223036,143,
1223994,143,
1225918,143,
1226395,143,
1227357,144,
1228317,144,
1229274,144,
1230235,144,
1231197,144,
1232153,144,
1233114,144,
1234074,144,
1235035,144,
1236955,144,
1236956,144,
1238401,143,
1239356,141,
1240314,141,
1241275,139,
1242236,138,
1243194,137,
1244156,136,
1245115,135,
1246075,135,
1247034,135,
1248954,135,
1248956,135,
1250398,135,
1251355,134,
1252315,134,
1253273,134,
1254232,134,
1255193,134,
1256156,134,
1257113,133,
1259038,132,
1259039,132,
1259996,130,
1261436,129,
1262394,129,
1263353,127,
1264313,126,
1265274,125,
1266234,123,
1267193,123,
1268153,123,
1269114,122,
1270075,122,
1271035,121,
1271994,121,
1273914,120,
1274393,120,
1275360,120,
1276315,120,
1277273,119,
1278232,119,
1279192,118,
1280154,118,
1281113,117,
1282073,116,
1283033,116,
1283993,116,
1285434,116,
1286874,116,
1287353,116,
1288317,116,
1289273,116,
1290233,116,
1291193,116,
1293115,116,
1293594,116,
1294074,116,
1295034,116,
1295992,116,
1297433,116,
1298397,116,
1299355,116,
1300316,116,
1301276,123,
1302235,133,
1303193,136,
1304154,139,
1305183,140,
1306073,141,
1307033,142,
1307993,142,
1309438,142,
1310396,143,
1311355,143,
1312314,143,
1313276,143,
1314233,143,
1315193,143,
1316157,143,
1317115,143,
1318076,143,
1319033,143,
1319993,143,
1321913,143,
1322393,144,
1323355,144,
1324317,144,
1325274,143,
1326235,140,
1327199,138,
1328153,138,
1329114,141,
1330075,143,
1331037,144,
1331996,145,
1333433,145,
1334401,146,
1335355,146,
1336316,146,
1337275,146,
1338236,146,
1339196,147,
1340155,147,
1341114,147,
1342077,147,
1343037,148,
1343995,148,
1345437,148,
1346395,148,
1347357,147,
1348318,147,
1349275,147,
1350236,147,
1351195,147,
1353116,147,
1353121,147,
1354075,147,
1355037,147,
1355999,147,
1357437,147,
1358394,147,
1359357,147,
1360314,147,
1361276,148,
1362236,148,
1363194,148,
1364154,148,
1365119,148,
1366075,148,
1367033,148,
1368954,148,
1368954,148,
1370393,148,
1371357,148,
1372316,148,
1373275,148,
1374234,148,
1375194,148,
1376155,148,
1377114,148,
1378073,148,
1379035,148,
1379992,148,
1380955,148,
1382397,144,
1383356,142,
1384316,145,
1385277,146,
1386237,147,
1387197,148,
1388155,148,
1389118,148,
1390078,149,
1391036,149,
1391996,149,
1393917,149,
1394396,149,
1395357,149,
1396315,150,
1397276,150,
1398236,150,
1399197,150,
1400156,150,
1401117,150,
1402076,151,
1403036,151,
1403996,151,
1404955,151,
1406396,151,
1407356,151,
1408317,152,
1409275,152,
1410237,151,
1411195,152,
1412157,152,
1413116,152,
1414075,152,
1415995,152,
1415999,153,
1416955,153,
1418396,153,
1419357,153,
1420315,153,
1421278,153,
1422236,153,
1423198,153,
1424156,153,
1425116,153,
1426079,154,
1427036,154,
1427996,154,
1428953,154,
1430396,154,
1431356,154,
1432317,154,
1433275,154,
1434238,154,
1435196,154,
1436156,154,
1437117,154,
1438075,154,
1439037,154,
1439995,154,
1440957,154,
1442398,154,
1443356,154,
1444316,154,
1445276,154,
1446237,154,
1448156,154,
1448161,154,
1449115,154,
1450074,154,
1451036,154,
1451996,154,
1453915,154,
1454394,154,
1455354,154,
1456314,154,
1457274,154,
1458235,154,
1459192,154,
1460153,154,
1461113,154,
1463036,154,
1463039,154,
1463997,154,
1464956,154,
1466397,154,
1467357,153,
1468316,153,
1469277,154,
1470235,154,
1471197,154,
1472155,154,
1473117,154,
1474075,154,
1475037,154,
1475996,154,
1476956,154,
1478397,154,
1479356,154,
1480316,154,
1481275,154,
1482241,155,
1483196,154,
1484155,154,
1485117,154,
1486076,154,
1487037,154,
1487996,154,
1488961,154,
1490400,154,
1491355,155,
1492317,155,
1493277,155,
1494237,154,
1495198,154,
1496156,155,
1497117,155,
1498075,154,
1499037,154,
1500956,154,
1500961,155,
1502395,155,
1503357,155,
1504316,155,
1505277,155,
1506236,155,
1507197,155,
1508156,155,
1509598,154,
1510075,155,
1511036,155,
1511998,155,
1513917,154,
1514398,154,
1515833,154,
1516316,155,
1517277,154,
1518239,154,
1519195,154,
1520158,154,
1521115,154,
1522076,154,
1523036,154,
1523996,154,
1524956,154,
1526399,154,
1527357,154,
1528315,154,
1529277,154,
1530237,155,
1531196,155,
1532156,155,
1533116,154,
1534076,154,
1535036,155,
1535997,155,
1536957,155,
1538396,154,
1539358,155,
1540317,155,
1541277,155,
1542237,155,
1543196,155,
1544157,154,
1545116,155,
1546076,155,
1547997,155,
1548002,155,
1548953,154,
1550395,154,
1551357,155,
1552316,155,
1553276,155,
1554236,154,
1555196,154,
1556157,154,
1558076,155,
1558080,155,
1559036,155,
1559996,155,
1560956,155,
1562398,155,
1563355,155,
1564316,155,
1565279,155,
1566239,155,
1567197,155,
1568157,155,
1569116,155,
1570076,155,
1571036,155,
1571996,155,
1572960,155,
1574395,155,
1575357,155,
1576315,155,
1577279,155,
1578235,155,
1579201,155,
1580156,156,
1581117,156,
1582078,156,
1583035,156,
1583996,155,
1585917,155,
1586397,156,
1587358,156,
1588316,156,
1589276,156,
1590239,155,
1591196,155,
1592157,155,
1593116,156,
1595037,156,
1595044,156,
1595995,155,
1596956,155,
1598395,155,
1599358,156,
1600317,156,
1601276,156,
1602236,155,
1603195,155,
1604156,155,
1605117,156,
1606075,156,
1607037,155,
1607995,155,
1608958,155,
1610398,155,
1611355,156,
1612318,156,
1613276,156,
1614237,155,
1615195,155,
1616157,155,
1618077,156,
1618080,156,
1619037,156,
1619997,155,
1620956,155,
1622398,155,
1623356,155,
1624317,155,
1625275,155,
1626238,155,
1627196,155,
1628157,155,
1629118,155,
1630075,155,
1631038,156,
1632956,156,
1632960,156,
1634396,156,
1635356,156,
1636316,155,
1637277,155,
1638239,156,
1639194,156,
1640155,156,
1642078,155,
1642081,154,
1643037,154,
1643996,154,
1644957,154,
1646396,154,
1647356,154,
1648318,153,
1649275,154,
1650236,154,
1651195,154,
1652157,154,
1653117,154,
1654076,154,
1655036,154,
1655997,155,
1656956,155,
1658396,155,
1659355,154,
1660316,155,
1661277,155,
1662237,155,
1663195,155,
1664153,154,
1665116,154,
1666076,154,
1667037,155,
1667997,155,
1668956,154,
1670396,154,
1671357,154,
1672316,154,
1673276,154,
1674235,154,
1675197,154,
1676156,153,
1677121,154,
1678077,154,
1679995,154,
1679999,154,
1680957,154,
1682396,154,
1683357,155,
1684316,155,
1685277,155,
1686235,155,
1687197,155,
1689116,155,
1689120,155,
1690077,155,
1691037,155,
1691996,155,
1692956,155,
1694399,155,
1695357,155,
1696316,155,
1697276,155,
1698237,154,
1699195,154,
1700155,154,
1701115,153,
1702080,154,
1703996,154,
1704000,155,
1704955,155,
1706397,155,
1707360,154,
1708316,155,
1709279,155,
1710237,155,
1711197,155,
1712156,154,
1713121,154,
1714076,155,
1715035,155,
1715996,154,
1716956,154,
1718396,154,
1719357,154,
1720317,155,
1721277,155,
1722235,155,
1723199,154,
1724156,154,
1725117,154,
1727036,154,
1727041,155,
1727996,154,
1728953,154,
1730396,154,
1731355,154,
1732317,154,
1733278,155,
1734236,154,
1735198,154,
1736159,154,
1737116,154,
1738077,154,
1739035,154,
1739995,154,
1740955,154,
1742396,154,
1743355,154,
1744315,154,
1745276,154,
1746236,154,
1748156,154,
1748162,153,
1749115,153,
1750077,153,
1751035,153,
1751996,153,
1752955,153,
1754397,152,
1755357,153,
1756315,153,
1757277,153,
1758236,152,
1759200,152,
1760159,152,
1761116,152,
1763035,152,
1763039,152,
1763996,151,
1764958,152,
1766397,152,
1767357,152,
1768317,151,
1769277,151,
1770236,151,
1771195,152,
1773117,152,
1773120,151,
1774076,151,
1775035,151,
1775997,152,
1776955,152,
1778397,152,
1779356,151,
1780317,152,
1781275,152,
1782236,152,
1783195,152,
1784157,152,
1785116,152,
1786077,152,
1787037,152,
1788956,152,
1788960,151,
1790397,152,
1791358,152,
1792315,152,
1793277,152,
1794235,151,
1795197,152,
1796155,152,
1797116,152,
1799035,151,
1799038,151,
1799996,151,
1800957,151,
1802399,151,
1803356,151,
1804319,151,
1805277,151,
1806236,151,
1807196,150,
1808156,150,
1809117,151,
1810079,151,
1811996,150,
1812000,150,
1813916,151,
1814395,151,
1815357,150,
1816315,150,
1817277,150,
1818236,151,
1819193,151,
1821115,150,
1821119,151,
1822075,151,
1823036,151,
1823995,150,
1824957,150,
1826396,150,
1827357,150,
1828316,150,
1829277,150,
1830238,150,
1831196,150,
1832155,150,
1833117,149,
1834075,150,
1835040,150,
1835996,150,
1836956,149,
1838396,149,
1839357,149,
1840317,149,
1841278,149,
1842235,149,
1843198,148,
1844156,149,
1845116,148,
1846075,148,
1847036,148,
1847996,148,
1848955,148,
1850398,147,
1851355,147,
1852317,147,
1853275,147,
1854240,146,
1855197,146,
1856157,146,
1857115,146,
1859036,146,
1859517,146,
1859995,146,
1860956,146,
1862395,146,
1863355,146,
1864316,146,
1865279,146,
1866238,146,
1868155,146,
1868159,146,
1869117,146,
1870080,147,
1871037,147,
1871995,146,
1873918,146,
1874396,146,
1875357,146,
1876315,146,
1877277,146,
1878238,146,
1879197,146,
