t_offset_ms,rr_interval_ms,bpm_instantane
317192,514,117
317706,511,117
318217,507,118
318724,514,117
319238,504,119
319742,512,117
320254,510,118
320764,511,117
321275,511,117
321786,501,120
322287,510,118
322797,508,118
323305,504,119
323809,506,119
324315,507,118
324822,507,118
325329,503,119
325832,510,118
326342,505,119
326847,502,120
327349,512,117
327861,504,119
328365,506,119
328871,505,119
329376,505,119
329881,508,118
330389,497,121
330886,506,119
331392,503,119
331895,499,120
332394,501,120
332895,497,121
333392,502,120
333894,496,121
334390,497,121
334887,505,119
335392,491,122
335883,495,121
336378,503,119
336881,493,122
337374,495,121
337869,496,121
338365,489,123
338854,499,120
339353,494,121
339847,491,122
340338,491,122
340829,493,122
341322,487,123
341809,493,122
342302,487,123
342789,496,121
343285,486,123
343771,488,123
344259,492,122
344751,487,123
345238,484,124
345722,490,122
346212,480,125
346692,488,123
347180,490,122
347670,480,125
348150,485,124
348635,494,121
349129,482,124
349611,487,123
350098,488,123
350586,484,124
351070,483,124
351553,487,123
352040,486,123
352526,481,125
353007,488,123
353495,485,124
353980,485,124
354465,482,124
354947,484,124
355431,486,123
355917,482,124
356399,483,124
356882,487,123
357369,484,124
357853,485,124
358338,483,124
358821,484,124
359305,484,124
359789,490,122
360279,483,124
360762,487,123
361249,487,123
361736,485,124
362221,486,123
362707,491,122
363198,489,123
363687,485,124
364172,498,120
364670,489,123
365159,491,122
365650,499,120
366149,492,122
366641,497,121
367138,498,120
367636,491,122
368127,505,119
368632,493,122
369125,498,120
369623,502,120
370125,498,120
370623,503,119
371126,503,119
371629,500,120
372129,505,119
372634,501,120
373135,506,119
373641,506,119
374147,1017,59
375164,502,120
375666,508,118
376174,511,117
376685,498,120
377183,506,119
377689,506,119
378195,498,120
378693,505,119
379198,501,120
379699,501,120
380200,496,121
380696,502,120
381198,495,121
381693,496,121
382189,494,121
382683,501,120
383184,490,122
383674,998,60
384672,491,122
385163,498,120
385661,495,121
386156,495,121
386651,498,120
387149,497,121
387646,498,120
388144,493,122
388637,493,122
389130,501,120
389631,492,122
390123,494,121
390617,501,120
391118,492,122
391610,495,121
392105,497,121
392602,494,121
393096,494,121
393590,494,121
394084,490,122
394574,494,121
395068,495,121
395563,489,123
396052,490,122
396542,493,122
397035,489,123
397524,491,122
398015,490,122
398505,485,124
398990,490,122
399480,490,122
399970,485,124
400455,493,122
400948,485,124
401433,483,124
401916,498,120
402414,477,126
402891,492,122
403383,490,122
403873,490,122
404363,490,122
404853,486,123
405339,497,121
405836,494,121
406330,498,120
406828,488,123
407316,492,122
407808,495,121
408303,494,121
408797,498,120
409295,499,120
409794,512,117
410306,521,115
410827,521,115
411348,534,112
411882,537,112
412419,545,110
412964,544,110
413508,543,110
414051,550,109
414601,547,110
415148,544,110
415692,545,110
416237,545,110
416782,546,110
417328,540,111
417868,541,111
418409,544,110
418953,543,110
419496,535,112
420031,540,111
420571,541,111
421112,544,110
421656,547,110
422203,551,109
422754,556,108
423310,558,108
423868,568,106
424436,610,98
425046,645,93
425691,673,89
426364,708,85
427072,694,86
427766,707,85
428473,709,85
429182,692,87
429874,671,89
430545,669,90
431214,660,91
431874,641,94
432515,644,93
433159,646,93
433805,641,94
434446,637,94
435083,645,93
435728,659,91
436387,655,92
437042,651,92
437693,648,93
438341,646,93
438987,644,93
439631,630,95
440261,634,95
440895,624,96
441519,636,94
442155,631,95
442786,650,92
443436,665,90
444101,696,86
444797,686,87
445483,713,84
446196,721,83
446917,700,86
447617,684,88
448301,678,88
448979,669,90
449648,662,91
450310,667,90
450977,696,86
451673,730,82
452403,770,78
453173,751,80
453924,796,75
454720,831,72
455551,780,77
456331,769,78
457100,771,78
457871,750,80
458621,728,82
459349,740,81
460089,761,79
460850,730,82
461580,718,84
462298,738,81
463036,744,81
463780,724,83
464504,750,80
465254,769,78
466023,774,78
466797,743,81
467540,743,81
468283,731,82
469014,720,83
469734,700,86
470434,683,88
471117,686,87
471803,672,89
472475,656,91
473131,654,92
473785,669,90
474454,683,88
475137,690,87
475827,698,86
476525,727,83
477252,743,81
477995,735,82
478730,739,81
479469,725,83
480194,709,85
480903,712,84
481615,720,83
482335,707,85
483042,697,86
483739,688,87
484427,688,87
485115,710,85
485825,719,83
486544,716,84
487260,705,85
487965,705,85
488670,708,85
489378,698,86
490076,688,87
490764,683,88
491447,680,88
492127,679,88
492806,680,88
493486,672,89
494158,674,89
494832,672,89
495504,670,90
496174,662,91
496836,655,92
497491,651,92
498142,660,91
498802,670,90
499472,674,89
500146,675,89
500821,673,89
501494,660,91
502154,654,92
502808,651,92
503459,653,92
504112,680,88
504792,718,84
505510,725,83
506235,732,82
506967,756,79
507723,793,76
508516,762,79
509278,746,80
510024,723,83
510747,705,85
511452,685,88
512136,672,89
512808,664,90
513472,685,88
514158,693,87
514851,704,85
515554,702,85
516256,730,82
516986,760,79
517746,729,82
518476,719,83
519195,695,86
519890,679,88
520568,667,90
521236,667,90
521903,685,88
522587,701,86
523289,763,79
524052,886,68
524938,886,68
525824,903,66
526727,916,66
527643,868,69
528511,824,73
529335,797,75
530132,773,78
530905,745,81
531650,746,80
532396,749,80
533145,688,87
533833,700,86
534533,679,88
535212,667,90
535879,664,90
536543,646,93
537189,643,93
537832,676,89
538508,731,82
539239,716,84
539955,705,85
540660,769,78
541429,746,80
542175,739,81
542914,722,83
543636,705,85
544341,691,87
545032,679,88
545711,663,90
546374,655,92
547029,658,91
547687,649,92
548336,650,92
548986,652,92
549638,648,93
550286,651,92
550937,650,92
551587,648,93
552235,647,93
552882,658,91
553540,646,93
554186,642,93
554828,655,92
555483,644,93
556127,642,93
556769,635,94
557404,633,95
558037,616,97
558653,620,97
559273,612,98
559885,611,98
560496,604,99
561100,606,99
561706,607,99
562313,613,98
562926,604,99
563530,603,100
564133,602,100
564735,603,100
565338,600,100
565938,600,100
566538,595,101
567133,592,101
567725,589,102
568314,589,102
568903,597,101
569500,598,100
570098,593,101
570691,597,101
571288,595,101
571883,590,102
572473,594,101
573067,590,102
573657,591,102
574248,601,100
574849,614,98
575463,644,93
576107,652,92
576759,661,91
577420,662,91
578082,263,228
578345,407,147
578752,664,90
579416,382,157
579798,269,223
580067,452,133
580519,833,72
581352,638,94
581990,638,94
582628,629,95
583257,625,96
583882,612,98
584494,627,96
585121,624,96
585745,1234,49
586979,612,98
587591,608,99
588199,592,101
588791,596,101
589387,588,102
589975,574,105
590549,590,102
591139,570,105
591709,567,106
592276,564,106
592840,563,107
593403,559,107
593962,545,110
594507,555,108
595062,547,110
595609,542,111
596151,539,111
596690,536,112
597226,534,112
597760,1057,57
598817,1051,57
599868,514,117
600382,528,114
600910,517,116
601427,521,115
601948,513,117
602461,517,116
602978,514,117
603492,506,119
603998,511,117
604509,511,117
605020,508,118
605528,509,118
606037,505,119
606542,509,118
607051,503,119
607554,507,118
608061,500,120
608561,498,120
609059,505,119
609564,500,120
610064,497,121
610561,505,119
611066,493,122
611559,494,121
612053,996,60
613049,493,122
613542,496,121
614038,489,123
614527,492,122
615019,497,121
615516,494,121
616010,488,123
616498,495,121
616993,489,123
617482,499,120
617981,484,124
618465,487,123
618952,501,120
619453,482,124
619935,490,122
620425,493,122
620918,486,123
621404,494,121
621898,487,123
622385,487,123
622872,487,123
623359,494,121
623853,482,124
624335,491,122
624826,489,123
625315,485,124
625800,487,123
626287,489,123
626776,482,124
627258,490,122
627748,483,124
628231,479,125
628710,490,122
629200,479,125
629679,478,126
630157,486,123
630643,479,125
631122,474,127
631596,484,124
632080,479,125
632559,475,126
633034,479,125
633513,478,126
633991,474,127
634465,476,126
634941,479,125
635420,474,127
635894,479,125
636373,943,64
637316,475,126
637791,475,126
638266,470,128
638736,469,128
639205,470,128
639675,476,126
640151,472,127
640623,469,128
641092,472,127
641564,470,128
642034,473,127
642507,474,127
642981,473,127
643454,472,127
643926,475,126
644401,473,127
644874,472,127
645346,951,63
646297,290,207
646587,654,92
647241,472,127
647713,477,126
648190,473,127
648663,472,127
649135,473,127
649608,472,127
650080,470,128
650550,469,128
651019,481,125
651500,467,128
651967,951,63
652918,468,128
653386,474,127
653860,475,126
654335,471,127
654806,474,127
655280,474,127
655754,468,128
656222,470,128
656692,480,125
657172,466,129
657638,469,128
658107,565,106
658672,378,159
659050,341,176
659391,599,100
659990,471,127
660461,469,128
660930,465,129
661395,478,126
661873,467,128
662340,468,128
662808,1407,43
664215,277,217
664492,652,92
665144,351,171
665495,446,135
665941,281,214
666222,320,188
666542,467,128
667009,383,157
667392,546,110
667938,465,129
668403,471,127
668874,462,130
669336,1394,43
670730,460,130
671190,462,130
671652,466,129
672118,462,130
672580,461,130
673041,466,129
673507,924,65
674431,463,130
674894,470,128
675364,459,131
675823,461,130
676284,462,130
676746,468,128
677214,460,130
677674,462,130
678136,464,129
678600,926,65
679526,464,129
679990,465,129
680455,461,130
680916,460,130
681376,460,130
681836,360,167
682196,568,106
682764,459,131
683223,459,131
683682,464,129
684146,461,130
684607,1380,43
685987,458,131
686445,459,131
686904,459,131
687363,918,65
688281,463,130
688744,461,130
689205,458,131
689663,458,131
690121,460,130
690581,458,131
691039,464,129
691503,457,131
691960,458,131
692418,459,131
692877,457,131
693334,457,131
693791,455,132
694246,457,131
694703,459,131
695162,458,131
695620,908,66
696528,453,132
696981,451,133
697432,454,132
697886,456,132
698342,456,132
698798,455,132
699253,900,67
700153,460,130
700613,594,101
701207,314,191
701521,451,133
701972,453,132
702425,452,133
702877,451,133
703328,447,134
703775,452,133
704227,457,131
704684,446,135
705130,450,133
705580,450,133
706030,451,133
706481,448,134
706929,447,134
707376,450,133
707826,447,134
708273,448,134
708721,449,134
709170,444,135
709614,445,135
710059,451,133
710510,442,136
710952,442,136
711394,443,135
711837,446,135
712283,444,135
712727,441,136
713168,442,136
713610,445,135
714055,441,136
714496,441,136
714937,883,68
715820,881,68
716701,440,136
717141,436,138
717577,875,69
718452,444,135
718896,438,137
719334,438,137
719772,441,136
720213,435,138
720648,439,137
721087,442,136
721529,438,137
721967,435,138
722402,436,138
722838,439,137
723277,438,137
723715,437,137
724152,437,137
724589,437,137
725026,434,138
725460,443,135
725903,433,139
726336,436,138
726772,432,139
727204,439,137
727643,435,138
728078,436,138
728514,434,138
728948,435,138
729383,435,138
729818,439,137
730257,433,139
730690,435,138
731125,432,139
731557,438,137
731995,434,138
732429,438,137
732867,438,137
733305,432,139
733737,434,138
734171,438,137
734609,434,138
735043,434,138
735477,429,140
735906,436,138
736342,431,139
736773,434,138
737207,440,136
737647,435,138
738082,430,140
738512,437,137
738949,435,138
739384,440,136
739824,432,139
740256,434,138
740690,435,138
741125,437,137
741562,433,139
741995,439,137
742434,438,137
742872,431,139
743303,437,137
743740,434,138
744174,435,138
744609,435,138
745044,432,139
745476,434,138
745910,436,138
746346,436,138
746782,433,139
747215,437,137
747652,430,140
748082,436,138
748518,872,69
749390,433,139
749823,433,139
750256,434,138
750690,438,137
751128,431,139
751559,432,139
751991,432,139
752423,433,139
752856,431,139
753287,431,139
753718,434,138
754152,437,137
754589,429,140
755018,865,69
755883,429,140
756312,435,138
756747,431,139
757178,432,139
757610,864,69
758474,433,139
758907,434,138
759341,432,139
759773,430,140
760203,437,137
760640,438,137
761078,433,139
761511,431,139
761942,431,139
762373,437,137
762810,438,137
763248,433,139
763681,431,139
764112,431,139
764543,435,138
764978,440,136
765418,434,138
765852,430,140
766282,432,139
766714,439,137
767153,433,139
767586,436,138
768022,433,139
768455,438,137
768893,432,139
769325,436,138
769761,437,137
770198,434,138
770632,434,138
771066,429,140
771495,361,166
771856,514,117
772370,438,137
772808,432,139
773240,436,138
773676,435,138
774111,436,138
774547,438,137
774985,433,139
775418,433,139
775851,875,69
776726,433,139
777159,433,139
777592,871,69
778463,434,138
778897,440,136
779337,432,139
779769,433,139
780202,434,138
780636,436,138
781072,435,138
781507,433,139
781940,434,138
782374,429,140
782803,433,139
783236,868,69
784104,433,139
784537,432,139
784969,434,138
785403,872,69
786275,438,137
786713,434,138
787147,431,139
787578,432,139
788010,439,137
788449,434,138
788883,432,139
789315,868,69
790183,431,139
790614,438,137
791052,438,137
791490,434,138
791924,435,138
792359,441,136
792800,437,137
793237,437,137
793674,436,138
794110,434,138
794544,440,136
794984,442,136
795426,438,137
795864,440,136
796304,437,137
796741,438,137
797179,441,136
797620,440,136
798060,439,137
798499,439,137
798938,439,137
799377,443,135
799820,438,137
800258,438,137
800696,882,68
801578,441,136
802019,442,136
802461,443,135
802904,439,137
803343,441,136
803784,445,135
804229,443,135
804672,441,136
805113,439,137
805552,442,136
805994,443,135
806437,440,136
806877,436,138
807313,438,137
807751,444,135
808195,438,137
808633,436,138
809069,439,137
809508,438,137
809946,438,137
810384,439,137
810823,438,137
811261,435,138
811696,444,135
812140,436,138
812576,437,137
813013,435,138
813448,1317,46
814765,439,137
815204,439,137
815643,438,137
816081,437,137
816518,439,137
816957,439,137
817396,435,138
817831,437,137
818268,438,137
818706,434,138
819140,438,137
819578,437,137
820015,435,138
820450,432,139
820882,436,138
821318,437,137
821755,434,138
822189,435,138
822624,433,139
823057,436,138
823493,435,138
823928,435,138
824363,434,138
824797,432,139
825229,434,138
825663,438,137
826101,432,139
826533,434,138
826967,435,138
827402,434,138
827836,438,137
828274,434,138
828708,435,138
829143,437,137
829580,429,140
830009,438,137
830447,438,137
830885,435,138
831320,432,139
831752,437,137
832189,871,69
833060,438,137
833498,433,139
833931,437,137
834368,874,69
835242,439,137
835681,438,137
836119,438,137
836557,437,137
836994,439,137
837433,438,137
837871,436,138
838307,440,136
838747,877,68
839624,436,138
840060,437,137
840497,443,135
840940,876,68
841816,440,136
842256,437,137
842693,444,135
843137,880,68
844017,442,136
844459,439,137
844898,891,67
845789,442,136
846231,445,135
846676,444,135
847120,444,135
847564,444,135
848008,447,134
848455,447,134
848902,441,136
849343,446,135
849789,446,135
850235,442,136
850677,444,135
851121,444,135
851565,442,136
852007,446,135
852453,443,135
852896,443,135
853339,439,137
853778,445,135
854223,447,134
854670,440,136
855110,443,135
855553,438,137
855991,441,136
856432,445,135
856877,443,135
857320,437,137
857757,438,137
858195,441,136
858636,443,135
859079,438,137
859517,434,138
859951,438,137
860389,438,137
860827,439,137
861266,437,137
861703,438,137
862141,439,137
862580,438,137
863018,440,136
863458,438,137
863896,438,137
864334,438,137
864772,440,136
865212,442,136
865654,441,136
866095,438,137
866533,439,137
866972,442,136
867414,440,136
867854,437,137
868291,442,136
868733,437,137
869170,443,135
869613,439,137
870052,439,137
870491,437,137
870928,438,137
871366,439,137
871805,437,137
872242,437,137
872679,440,136
873119,439,137
873558,438,137
873996,439,137
874435,439,137
874874,436,138
875310,440,136
875750,437,137
876187,438,137
876625,436,138
877061,435,138
877496,445,135
877941,436,138
878377,437,137
878814,439,137
879253,431,139
879684,439,137
880123,438,137
880561,439,137
881000,432,139
881432,434,138
881866,437,137
882303,438,137
882741,438,137
883179,433,139
883612,439,137
884051,437,137
884488,437,137
884925,437,137
885362,438,137
885800,437,137
886237,435,138
886672,439,137
887111,438,137
887549,433,139
887982,441,136
888423,438,137
888861,435,138
889296,438,137
889734,435,138
890169,436,138
890605,437,137
891042,437,137
891479,437,137
891916,433,139
892349,438,137
892787,436,138
893223,434,138
893657,435,138
894092,436,138
894528,431,139
894959,436,138
895395,437,137
895832,438,137
896270,429,140
896699,432,139
897131,438,137
897569,434,138
898003,433,139
898436,432,139
898868,434,138
899302,432,139
899734,436,138
900170,433,139
900603,438,137
901041,431,139
901472,437,137
901909,433,139
902342,433,139
902775,433,139
903208,434,138
903642,435,138
904077,431,139
904508,870,69
905378,436,138
905814,436,138
906250,436,138
906686,432,139
907118,436,138
907554,436,138
907990,437,137
908427,430,140
908857,438,137
909295,438,137
