Phone timestamp;RR-interval [ms]
2026-03-18T18:13:43.063;936
2026-03-18T18:13:43.999;938
2026-03-18T18:13:44.937;968
2026-03-18T18:13:45.905;914
2026-03-18T18:13:46.819;958
2026-03-18T18:13:47.777;935
2026-03-18T18:13:48.712;902
2026-03-18T18:13:49.614;846
2026-03-18T18:13:50.460;844
2026-03-18T18:13:51.304;828
2026-03-18T18:13:52.132;799
2026-03-18T18:13:52.931;790
2026-03-18T18:13:53.721;807
2026-03-18T18:13:54.528;825
2026-03-18T18:13:55.353;792
2026-03-18T18:13:56.145;778
2026-03-18T18:13:56.923;791
2026-03-18T18:13:57.714;828
2026-03-18T18:13:58.542;800
2026-03-18T18:13:59.342;808
2026-03-18T18:14:00.150;779
2026-03-18T18:14:00.929;792
2026-03-18T18:14:01.721;742
2026-03-18T18:14:02.463;292
2026-03-18T18:14:02.755;495
2026-03-18T18:14:03.250;715
2026-03-18T18:14:03.965;739
2026-03-18T18:14:04.704;713
2026-03-18T18:14:05.417;1042
2026-03-18T18:14:06.459;7520
2026-03-18T18:14:05.389;639
2026-03-18T18:14:06.028;639
2026-03-18T18:14:06.667;672
2026-03-18T18:14:07.339;685
2026-03-18T18:14:08.024;708
2026-03-18T18:14:08.732;692
2026-03-18T18:14:09.424;687
2026-03-18T18:14:10.111;702
2026-03-18T18:14:10.813;701
2026-03-18T18:14:11.514;691
2026-03-18T18:14:12.205;689
2026-03-18T18:14:12.894;695
2026-03-18T18:14:13.589;703
2026-03-18T18:14:14.292;699
2026-03-18T18:14:14.991;691
2026-03-18T18:14:15.682;698
2026-03-18T18:14:16.380;703
2026-03-18T18:14:17.083;703
2026-03-18T18:14:17.786;697
2026-03-18T18:14:18.483;716
2026-03-18T18:14:19.199;727
2026-03-18T18:14:19.926;713
2026-03-18T18:14:20.639;710
2026-03-18T18:14:21.349;705
2026-03-18T18:14:22.054;717
2026-03-18T18:14:22.771;725
2026-03-18T18:14:23.496;713
2026-03-18T18:14:24.209;698
2026-03-18T18:14:24.907;682
2026-03-18T18:14:25.589;692
2026-03-18T18:14:26.281;727
2026-03-18T18:14:27.008;800
