Phone timestamp;RR-interval [ms]
2026-03-23T10:56:01.712;664
2026-03-23T10:56:02.376;663
2026-03-23T10:56:03.039;649
2026-03-23T10:56:03.688;652
2026-03-23T10:56:04.340;662
2026-03-23T10:56:05.002;675
2026-03-23T10:56:05.677;687
2026-03-23T10:56:06.364;691
2026-03-23T10:56:07.055;700
2026-03-23T10:56:07.755;701
2026-03-23T10:56:08.456;689
2026-03-23T10:56:09.145;706
2026-03-23T10:56:09.851;700
2026-03-23T10:56:10.551;718
2026-03-23T10:56:11.269;724
2026-03-23T10:56:11.993;709
2026-03-23T10:56:12.702;680
2026-03-23T10:56:13.382;654
2026-03-23T10:56:14.036;646
2026-03-23T10:56:14.682;632
2026-03-23T10:56:15.314;615
2026-03-23T10:56:15.929;615
2026-03-23T10:56:16.544;616
2026-03-23T10:56:17.160;623
2026-03-23T10:56:17.783;628
2026-03-23T10:56:18.411;635
2026-03-23T10:56:19.046;643
2026-03-23T10:56:19.689;641
2026-03-23T10:56:20.330;634
2026-03-23T10:56:20.964;639
2026-03-23T10:56:21.603;628
2026-03-23T10:56:22.231;618
2026-03-23T10:56:22.849;607
2026-03-23T10:56:23.456;606
2026-03-23T10:56:24.062;600
2026-03-23T10:56:24.662;592
2026-03-23T10:56:25.254;589
2026-03-23T10:56:25.843;589
2026-03-23T10:56:26.432;590
2026-03-23T10:56:27.022;590
2026-03-23T10:56:27.612;596
2026-03-23T10:56:28.208;612
2026-03-23T10:56:28.820;642
2026-03-23T10:56:29.462;650
2026-03-23T10:56:30.112;722
2026-03-23T10:56:30.834;927
2026-03-23T10:56:31.761;836
2026-03-23T10:56:32.597;856
2026-03-23T10:56:33.453;820
2026-03-23T10:56:34.273;810
2026-03-23T10:56:35.083;636
2026-03-23T10:56:35.719;891
2026-03-23T10:56:36.610;732
2026-03-23T10:56:37.342;694
2026-03-23T10:56:38.036;687
2026-03-23T10:56:38.723;680
2026-03-23T10:56:39.403;646
2026-03-23T10:56:40.049;644
2026-03-23T10:56:40.693;627
2026-03-23T10:56:41.320;627
2026-03-23T10:56:41.947;656
2026-03-23T10:56:42.603;853
2026-03-23T10:56:43.456;861
2026-03-23T10:56:44.317;850
2026-03-23T10:56:45.167;816
2026-03-23T10:56:45.983;790
2026-03-23T10:56:46.773;727
2026-03-23T10:56:47.500;694
2026-03-23T10:56:48.194;685
2026-03-23T10:56:48.879;669
2026-03-23T10:56:49.548;678
2026-03-23T10:56:50.226;704
2026-03-23T10:56:50.930;759
2026-03-23T10:56:51.689;896
2026-03-23T10:56:52.585;839
2026-03-23T10:56:53.424;786
2026-03-23T10:56:54.210;742
2026-03-23T10:56:54.952;721
2026-03-23T10:56:55.673;696
2026-03-23T10:56:56.369;689
2026-03-23T10:56:57.058;685
2026-03-23T10:56:57.743;683
2026-03-23T10:56:58.426;686
2026-03-23T10:56:59.112;682
2026-03-23T10:56:59.794;684
2026-03-23T10:57:00.478;670
2026-03-23T10:57:01.148;652
2026-03-23T10:57:01.800;647
2026-03-23T10:57:02.447;630
2026-03-23T10:57:03.077;626
2026-03-23T10:57:03.703;623
2026-03-23T10:57:04.326;621
2026-03-23T10:57:04.947;623
2026-03-23T10:57:05.570;624
2026-03-23T10:57:06.194;644
2026-03-23T10:57:06.838;688
2026-03-23T10:57:07.526;711
2026-03-23T10:57:08.237;722
2026-03-23T10:57:08.959;751
2026-03-23T10:57:09.710;790
2026-03-23T10:57:10.500;839
2026-03-23T10:57:11.339;821
2026-03-23T10:57:12.160;783
2026-03-23T10:57:12.943;760
2026-03-23T10:57:13.703;729
2026-03-23T10:57:14.432;734
2026-03-23T10:57:15.166;735
2026-03-23T10:57:15.901;743
2026-03-23T10:57:16.644;741
2026-03-23T10:57:17.385;748
2026-03-23T10:57:18.133;739
2026-03-23T10:57:18.872;718
2026-03-23T10:57:19.590;720
2026-03-23T10:57:20.310;716
2026-03-23T10:57:21.026;703
2026-03-23T10:57:21.729;702
2026-03-23T10:57:22.431;729
2026-03-23T10:57:23.160;766
2026-03-23T10:57:23.926;797
2026-03-23T10:57:24.723;771
2026-03-23T10:57:25.494;771
2026-03-23T10:57:26.265;761
2026-03-23T10:57:27.026;745
2026-03-23T10:57:27.771;729
2026-03-23T10:57:28.500;709
2026-03-23T10:57:29.209;710
2026-03-23T10:57:29.919;684
2026-03-23T10:57:30.603;692
2026-03-23T10:57:31.295;700
2026-03-23T10:57:31.995;676
2026-03-23T10:57:32.671;668
2026-03-23T10:57:33.339;664
2026-03-23T10:57:34.003;656
2026-03-23T10:57:34.659;657
2026-03-23T10:57:35.316;652
2026-03-23T10:57:35.968;631
2026-03-23T10:57:36.599;634
2026-03-23T10:57:37.233;611
2026-03-23T10:57:37.844;615
2026-03-23T10:57:38.459;608
2026-03-23T10:57:39.067;599
2026-03-23T10:57:39.666;600
2026-03-23T10:57:40.266;593
2026-03-23T10:57:40.859;588
2026-03-23T10:57:41.447;584
2026-03-23T10:57:42.031;582
2026-03-23T10:57:42.613;573
2026-03-23T10:57:43.186;569
2026-03-23T10:57:43.755;572
2026-03-23T10:57:44.327;564
2026-03-23T10:57:44.891;557
2026-03-23T10:57:45.448;548
2026-03-23T10:57:45.996;542
2026-03-23T10:57:46.538;549
2026-03-23T10:57:47.087;545
2026-03-23T10:57:47.632;548
2026-03-23T10:57:48.180;552
2026-03-23T10:57:48.732;554
2026-03-23T10:57:49.286;556
2026-03-23T10:57:49.842;558
2026-03-23T10:57:50.400;559
2026-03-23T10:57:50.959;560
2026-03-23T10:57:51.519;555
2026-03-23T10:57:52.074;557
2026-03-23T10:57:52.631;555
2026-03-23T10:57:53.186;1093
2026-03-23T10:57:54.279;542
2026-03-23T10:57:54.821;537
2026-03-23T10:57:55.358;541
2026-03-23T10:57:55.899;540
2026-03-23T10:57:56.439;546
2026-03-23T10:57:56.985;556
2026-03-23T10:57:57.541;561
2026-03-23T10:57:58.102;563
2026-03-23T10:57:58.665;565
2026-03-23T10:57:59.230;568
2026-03-23T10:57:59.798;569
2026-03-23T10:58:00.367;569
2026-03-23T10:58:00.936;571
2026-03-23T10:58:01.507;571
2026-03-23T10:58:02.078;572
2026-03-23T10:58:02.650;570
2026-03-23T10:58:03.220;568
2026-03-23T10:58:03.788;564
2026-03-23T10:58:04.352;563
2026-03-23T10:58:04.915;558
2026-03-23T10:58:05.473;556
2026-03-23T10:58:06.029;549
2026-03-23T10:58:06.578;557
2026-03-23T10:58:07.135;548
2026-03-23T10:58:07.683;550
2026-03-23T10:58:08.233;550
2026-03-23T10:58:08.783;555
2026-03-23T10:58:09.338;552
2026-03-23T10:58:09.890;548
2026-03-23T10:58:10.438;548
2026-03-23T10:58:10.986;551
2026-03-23T10:58:11.537;539
2026-03-23T10:58:12.076;552
2026-03-23T10:58:12.628;540
2026-03-23T10:58:13.168;545
2026-03-23T10:58:13.713;543
2026-03-23T10:58:14.256;539
2026-03-23T10:58:14.795;550
2026-03-23T10:58:15.345;550
2026-03-23T10:58:15.895;548
2026-03-23T10:58:16.443;558
2026-03-23T10:58:17.001;561
2026-03-23T10:58:17.562;565
2026-03-23T10:58:18.127;568
2026-03-23T10:58:18.695;568
2026-03-23T10:58:19.263;571
2026-03-23T10:58:19.834;556
2026-03-23T10:58:20.390;562
2026-03-23T10:58:20.952;554
2026-03-23T10:58:21.506;554
2026-03-23T10:58:22.060;555
2026-03-23T10:58:22.615;552
2026-03-23T10:58:23.167;558
2026-03-23T10:58:23.725;563
2026-03-23T10:58:24.288;571
2026-03-23T10:58:24.859;582
2026-03-23T10:58:25.441;588
2026-03-23T10:58:26.029;589
2026-03-23T10:58:26.618;589
2026-03-23T10:58:27.207;587
2026-03-23T10:58:27.794;598
2026-03-23T10:58:28.392;591
2026-03-23T10:58:28.983;585
2026-03-23T10:58:29.568;590
2026-03-23T10:58:30.158;589
2026-03-23T10:58:30.747;588
2026-03-23T10:58:31.335;588
2026-03-23T10:58:31.923;588
2026-03-23T10:58:32.511;582
2026-03-23T10:58:33.093;578
2026-03-23T10:58:33.671;575
2026-03-23T10:58:34.246;575
2026-03-23T10:58:34.821;569
2026-03-23T10:58:35.390;565
2026-03-23T10:58:35.955;568
2026-03-23T10:58:36.523;552
2026-03-23T10:58:37.075;549
2026-03-23T10:58:37.624;551
2026-03-23T10:58:38.175;543
2026-03-23T10:58:38.718;542
2026-03-23T10:58:39.260;545
2026-03-23T10:58:39.805;534
2026-03-23T10:58:40.339;539
2026-03-23T10:58:40.878;525
2026-03-23T10:58:41.403;529
2026-03-23T10:58:41.932;528
2026-03-23T10:58:42.460;530
2026-03-23T10:58:42.990;520
2026-03-23T10:58:43.510;523
2026-03-23T10:58:44.033;522
2026-03-23T10:58:44.555;514
2026-03-23T10:58:45.069;520
2026-03-23T10:58:45.589;507
2026-03-23T10:58:46.096;515
2026-03-23T10:58:46.611;508
2026-03-23T10:58:47.119;503
2026-03-23T10:58:47.622;503
2026-03-23T10:58:48.125;500
2026-03-23T10:58:48.625;499
2026-03-23T10:58:49.124;494
2026-03-23T10:58:49.618;492
2026-03-23T10:58:50.110;496
2026-03-23T10:58:50.606;491
2026-03-23T10:58:51.097;482
2026-03-23T10:58:51.579;484
2026-03-23T10:58:52.063;486
2026-03-23T10:58:52.549;479
2026-03-23T10:58:53.028;489
2026-03-23T10:58:53.517;479
2026-03-23T10:58:53.996;477
2026-03-23T10:58:54.473;479
2026-03-23T10:58:54.952;476
2026-03-23T10:58:55.428;475
2026-03-23T10:58:55.903;472
2026-03-23T10:58:56.375;477
2026-03-23T10:58:56.852;468
2026-03-23T10:58:57.320;464
2026-03-23T10:58:57.784;473
2026-03-23T10:58:58.257;461
2026-03-23T10:58:58.718;465
2026-03-23T10:58:59.183;464
2026-03-23T10:58:59.647;460
2026-03-23T10:59:00.107;460
2026-03-23T10:59:00.567;463
2026-03-23T10:59:01.030;457
2026-03-23T10:59:01.487;452
2026-03-23T10:59:01.939;458
2026-03-23T10:59:02.397;454
2026-03-23T10:59:02.851;452
2026-03-23T10:59:03.303;453
2026-03-23T10:59:03.756;455
2026-03-23T10:59:04.211;448
2026-03-23T10:59:04.659;455
2026-03-23T10:59:05.114;446
2026-03-23T10:59:05.560;442
2026-03-23T10:59:06.002;450
2026-03-23T10:59:06.452;446
2026-03-23T10:59:06.898;443
2026-03-23T10:59:07.341;447
2026-03-23T10:59:07.788;447
2026-03-23T10:59:08.235;442
2026-03-23T10:59:08.677;440
2026-03-23T10:59:09.117;443
2026-03-23T10:59:09.560;441
2026-03-23T10:59:10.001;446
2026-03-23T10:59:10.447;438
2026-03-23T10:59:10.885;440
2026-03-23T10:59:11.325;446
2026-03-23T10:59:11.771;443
2026-03-23T10:59:12.214;440
2026-03-23T10:59:12.654;442
2026-03-23T10:59:13.096;442
2026-03-23T10:59:13.538;443
2026-03-23T10:59:13.981;444
2026-03-23T10:59:14.425;450
2026-03-23T10:59:14.875;445
2026-03-23T10:59:15.320;447
2026-03-23T10:59:15.767;451
2026-03-23T10:59:16.218;450
2026-03-23T10:59:16.668;456
2026-03-23T10:59:17.124;452
2026-03-23T10:59:17.576;455
2026-03-23T10:59:18.031;455
2026-03-23T10:59:18.486;460
2026-03-23T10:59:18.946;457
2026-03-23T10:59:19.403;455
2026-03-23T10:59:19.858;459
2026-03-23T10:59:20.317;462
2026-03-23T10:59:20.779;462
2026-03-23T10:59:21.241;461
2026-03-23T10:59:21.702;464
2026-03-23T10:59:22.166;464
2026-03-23T10:59:22.630;462
2026-03-23T10:59:23.092;468
2026-03-23T10:59:23.560;468
2026-03-23T10:59:24.028;470
2026-03-23T10:59:24.498;475
2026-03-23T10:59:24.973;466
2026-03-23T10:59:25.439;469
2026-03-23T10:59:25.908;479
2026-03-23T10:59:26.387;467
2026-03-23T10:59:26.854;474
2026-03-23T10:59:27.328;479
2026-03-23T10:59:27.807;468
2026-03-23T10:59:28.275;479
2026-03-23T10:59:28.754;475
2026-03-23T10:59:29.229;477
2026-03-23T10:59:29.706;472
2026-03-23T10:59:30.178;474
2026-03-23T10:59:30.652;476
2026-03-23T10:59:31.128;480
2026-03-23T10:59:31.608;475
2026-03-23T10:59:32.083;473
2026-03-23T10:59:32.556;478
2026-03-23T10:59:33.034;479
2026-03-23T10:59:33.513;478
2026-03-23T10:59:33.991;483
2026-03-23T10:59:34.474;483
2026-03-23T10:59:34.957;493
2026-03-23T10:59:35.450;484
2026-03-23T10:59:35.934;489
2026-03-23T10:59:36.423;497
2026-03-23T10:59:36.920;491
2026-03-23T10:59:37.411;490
2026-03-23T10:59:37.901;493
2026-03-23T10:59:38.394;487
2026-03-23T10:59:38.881;492
2026-03-23T10:59:39.373;482
2026-03-23T10:59:39.855;485
2026-03-23T10:59:40.340;491
2026-03-23T10:59:40.831;487
2026-03-23T10:59:41.318;486
2026-03-23T10:59:41.804;487
2026-03-23T10:59:42.291;494
2026-03-23T10:59:42.785;496
2026-03-23T10:59:43.281;502
2026-03-23T10:59:43.783;509
2026-03-23T10:59:44.292;518
2026-03-23T10:59:44.810;525
2026-03-23T10:59:45.335;523
2026-03-23T10:59:45.858;533
2026-03-23T10:59:46.391;535
2026-03-23T10:59:46.926;533
2026-03-23T10:59:47.459;528
2026-03-23T10:59:47.987;536
2026-03-23T10:59:48.523;533
2026-03-23T10:59:49.056;514
2026-03-23T10:59:49.570;524
2026-03-23T10:59:50.094;522
2026-03-23T10:59:50.616;520
2026-03-23T10:59:51.136;520
2026-03-23T10:59:51.656;513
2026-03-23T10:59:52.169;517
2026-03-23T10:59:52.686;529
2026-03-23T10:59:53.215;523
2026-03-23T10:59:53.738;523
2026-03-23T10:59:54.261;534
2026-03-23T10:59:54.795;542
2026-03-23T10:59:55.337;546
2026-03-23T10:59:55.883;549
2026-03-23T10:59:56.432;554
2026-03-23T10:59:56.986;549
2026-03-23T10:59:57.535;534
2026-03-23T10:59:58.069;544
2026-03-23T10:59:58.613;549
2026-03-23T10:59:59.162;552
2026-03-23T10:59:59.714;540
2026-03-23T11:00:00.254;558
2026-03-23T11:00:00.812;535
2026-03-23T11:00:01.347;553
2026-03-23T11:00:01.900;540
2026-03-23T11:00:02.440;528
2026-03-23T11:00:02.968;544
2026-03-23T11:00:03.512;541
2026-03-23T11:00:04.053;535
2026-03-23T11:00:04.588;528
2026-03-23T11:00:05.116;533
2026-03-23T11:00:05.649;537
2026-03-23T11:00:06.186;543
2026-03-23T11:00:06.729;545
2026-03-23T11:00:07.274;551
2026-03-23T11:00:07.825;562
2026-03-23T11:00:08.387;565
2026-03-23T11:00:08.952;564
2026-03-23T11:00:09.516;565
2026-03-23T11:00:10.081;565
2026-03-23T11:00:10.646;560
2026-03-23T11:00:11.206;549
2026-03-23T11:00:11.755;551
2026-03-23T11:00:12.306;529
2026-03-23T11:00:12.835;534
2026-03-23T11:00:13.369;529
2026-03-23T11:00:13.898;515
2026-03-23T11:00:14.413;515
2026-03-23T11:00:14.928;517
2026-03-23T11:00:15.445;507
2026-03-23T11:00:15.952;499
2026-03-23T11:00:16.451;511
2026-03-23T11:00:16.962;493
2026-03-23T11:00:17.455;489
2026-03-23T11:00:17.944;498
2026-03-23T11:00:18.442;484
2026-03-23T11:00:18.926;479
2026-03-23T11:00:19.405;485
2026-03-23T11:00:19.890;475
2026-03-23T11:00:20.365;470
2026-03-23T11:00:20.835;476
2026-03-23T11:00:21.311;467
2026-03-23T11:00:21.778;465
2026-03-23T11:00:22.243;470
2026-03-23T11:00:22.713;461
2026-03-23T11:00:23.174;459
2026-03-23T11:00:23.633;463
2026-03-23T11:00:24.096;459
2026-03-23T11:00:24.555;459
2026-03-23T11:00:25.014;459
2026-03-23T11:00:25.473;455
2026-03-23T11:00:25.928;459
2026-03-23T11:00:26.387;453
2026-03-23T11:00:26.840;452
2026-03-23T11:00:27.292;456
2026-03-23T11:00:27.748;451
2026-03-23T11:00:28.199;453
2026-03-23T11:00:28.652;452
2026-03-23T11:00:29.104;449
2026-03-23T11:00:29.553;451
2026-03-23T11:00:30.004;444
2026-03-23T11:00:30.448;444
2026-03-23T11:00:30.892;447
2026-03-23T11:00:31.339;443
2026-03-23T11:00:31.782;446
2026-03-23T11:00:32.228;442
2026-03-23T11:00:32.670;438
2026-03-23T11:00:33.108;444
2026-03-23T11:00:33.552;438
2026-03-23T11:00:33.990;440
2026-03-23T11:00:34.430;438
2026-03-23T11:00:34.868;437
2026-03-23T11:00:35.305;438
2026-03-23T11:00:35.743;433
2026-03-23T11:00:36.176;435
2026-03-23T11:00:36.611;434
2026-03-23T11:00:37.045;433
2026-03-23T11:00:37.478;434
2026-03-23T11:00:37.912;429
2026-03-23T11:00:38.341;431
2026-03-23T11:00:38.772;431
2026-03-23T11:00:39.203;425
2026-03-23T11:00:39.628;432
2026-03-23T11:00:40.060;425
2026-03-23T11:00:40.485;431
2026-03-23T11:00:40.916;423
2026-03-23T11:00:41.339;426
2026-03-23T11:00:41.765;426
2026-03-23T11:00:42.191;419
2026-03-23T11:00:42.610;426
2026-03-23T11:00:43.036;424
2026-03-23T11:00:43.460;420
2026-03-23T11:00:43.880;419
2026-03-23T11:00:44.299;423
2026-03-23T11:00:44.722;422
2026-03-23T11:00:45.144;424
2026-03-23T11:00:45.568;424
2026-03-23T11:00:45.992;418
2026-03-23T11:00:46.410;423
2026-03-23T11:00:46.833;421
2026-03-23T11:00:47.254;421
2026-03-23T11:00:47.675;422
2026-03-23T11:00:48.097;421
2026-03-23T11:00:48.518;423
2026-03-23T11:00:48.941;425
2026-03-23T11:00:49.366;425
2026-03-23T11:00:49.791;426
2026-03-23T11:00:50.217;426
2026-03-23T11:00:50.643;427
2026-03-23T11:00:51.070;428
2026-03-23T11:00:51.498;428
2026-03-23T11:00:51.926;429
2026-03-23T11:00:52.355;431
2026-03-23T11:00:52.786;434
2026-03-23T11:00:53.220;430
2026-03-23T11:00:53.650;434
2026-03-23T11:00:54.084;437
2026-03-23T11:00:54.521;438
2026-03-23T11:00:54.959;441
2026-03-23T11:00:55.400;440
2026-03-23T11:00:55.840;438
2026-03-23T11:00:56.278;438
2026-03-23T11:00:56.716;440
2026-03-23T11:00:57.156;445
2026-03-23T11:00:57.601;443
2026-03-23T11:00:58.044;435
2026-03-23T11:00:58.479;440
2026-03-23T11:00:58.919;449
2026-03-23T11:00:59.368;438
2026-03-23T11:00:59.806;436
2026-03-23T11:01:00.242;440
2026-03-23T11:01:00.682;443
