Phone timestamp;RR-interval [ms]
2026-03-24T18:18:58.489;763
2026-03-24T18:18:59.252;756
2026-03-24T18:19:00.008;745
2026-03-24T18:19:00.753;734
2026-03-24T18:19:01.487;729
2026-03-24T18:19:02.216;729
2026-03-24T18:19:02.945;736
2026-03-24T18:19:03.681;768
2026-03-24T18:19:04.449;797
2026-03-24T18:19:05.246;820
2026-03-24T18:19:06.066;825
2026-03-24T18:19:06.891;801
2026-03-24T18:19:07.692;797
2026-03-24T18:19:08.489;788
2026-03-24T18:19:09.277;786
2026-03-24T18:19:10.063;771
2026-03-24T18:19:10.834;754
2026-03-24T18:19:11.588;742
2026-03-24T18:19:12.330;742
2026-03-24T18:19:13.072;761
2026-03-24T18:19:13.833;751
2026-03-24T18:19:14.584;757
2026-03-24T18:19:15.341;754
2026-03-24T18:19:16.095;737
2026-03-24T18:19:16.832;740
2026-03-24T18:19:17.572;739
2026-03-24T18:19:18.311;737
2026-03-24T18:19:19.048;741
2026-03-24T18:19:19.789;758
2026-03-24T18:19:20.547;764
2026-03-24T18:19:21.311;765
2026-03-24T18:19:22.076;756
2026-03-24T18:19:22.832;751
2026-03-24T18:19:23.583;742
2026-03-24T18:19:24.325;729
2026-03-24T18:19:25.054;729
2026-03-24T18:19:25.783;724
2026-03-24T18:19:26.507;733
2026-03-24T18:19:27.240;754
2026-03-24T18:19:27.994;837
2026-03-24T18:19:28.831;1104
2026-03-24T18:19:29.935;929
2026-03-24T18:19:30.864;871
2026-03-24T18:19:31.735;837
2026-03-24T18:19:32.572;809
2026-03-24T18:19:33.381;773
2026-03-24T18:19:34.154;773
2026-03-24T18:19:34.927;748
2026-03-24T18:19:35.675;739
2026-03-24T18:19:36.414;737
2026-03-24T18:19:37.151;731
2026-03-24T18:19:37.882;743
2026-03-24T18:19:38.625;754
2026-03-24T18:19:39.379;780
2026-03-24T18:19:40.159;788
2026-03-24T18:19:40.947;802
