Phone timestamp;RR-interval [ms]
2026-03-24T18:27:32.567;956
2026-03-24T18:27:33.523;941
2026-03-24T18:27:34.464;888
2026-03-24T18:27:35.352;841
2026-03-24T18:27:36.193;817
2026-03-24T18:27:37.010;845
2026-03-24T18:27:37.855;851
2026-03-24T18:27:38.706;824
2026-03-24T18:27:39.530;834
2026-03-24T18:27:40.364;871
2026-03-24T18:27:41.235;861
2026-03-24T18:27:42.096;833
2026-03-24T18:27:42.929;823
2026-03-24T18:27:43.752;812
2026-03-24T18:27:44.564;805
2026-03-24T18:27:45.369;824
2026-03-24T18:27:46.193;839
2026-03-24T18:27:47.032;797
2026-03-24T18:27:47.829;778
2026-03-24T18:27:48.607;764
2026-03-24T18:27:49.371;764
2026-03-24T18:27:50.135;779
2026-03-24T18:27:50.914;783
2026-03-24T18:27:51.697;786
2026-03-24T18:27:52.483;820
2026-03-24T18:27:53.303;851
2026-03-24T18:27:54.154;778
2026-03-24T18:27:54.932;879
2026-03-24T18:27:55.811;708
2026-03-24T18:27:56.519;614
2026-03-24T18:27:57.133;700
2026-03-24T18:27:57.833;425
2026-03-24T18:27:58.258;381
2026-03-24T18:27:58.639;558
2026-03-24T18:27:59.197;690
2026-03-24T18:27:59.887;701
2026-03-24T18:28:00.588;731
2026-03-24T18:28:01.319;818
2026-03-24T18:28:02.137;853
2026-03-24T18:28:02.990;823
2026-03-24T18:28:03.813;768
2026-03-24T18:28:04.581;792
2026-03-24T18:28:05.373;787
2026-03-24T18:28:06.160;778
2026-03-24T18:28:06.938;771
2026-03-24T18:28:07.709;767
2026-03-24T18:28:08.476;749
2026-03-24T18:28:09.225;758
2026-03-24T18:28:09.983;758
2026-03-24T18:28:10.741;768
2026-03-24T18:28:11.509;812
2026-03-24T18:28:12.321;855
2026-03-24T18:28:13.176;974
2026-03-24T18:28:14.150;1098
2026-03-24T18:28:15.248;1000
2026-03-24T18:28:16.248;943
2026-03-24T18:28:17.191;865
2026-03-24T18:28:18.056;827
2026-03-24T18:28:18.883;816
2026-03-24T18:28:19.699;832
2026-03-24T18:28:20.531;852
2026-03-24T18:28:21.383;827
2026-03-24T18:28:22.210;801
2026-03-24T18:28:23.011;815
2026-03-24T18:28:23.826;816
2026-03-24T18:28:24.642;804
2026-03-24T18:28:25.446;787
2026-03-24T18:28:26.233;769
2026-03-24T18:28:27.002;746
2026-03-24T18:28:27.748;743
2026-03-24T18:28:28.491;715
2026-03-24T18:28:29.206;712
2026-03-24T18:28:29.918;693
2026-03-24T18:28:30.611;684
2026-03-24T18:28:31.295;681
2026-03-24T18:28:31.976;679
2026-03-24T18:28:32.655;678
2026-03-24T18:28:33.333;687
2026-03-24T18:28:34.020;704
2026-03-24T18:28:34.724;741
2026-03-24T18:28:35.465;776
2026-03-24T18:28:36.241;792
2026-03-24T18:28:37.033;820
2026-03-24T18:28:37.853;809
2026-03-24T18:28:38.662;787
2026-03-24T18:28:39.449;774
2026-03-24T18:28:40.223;769
2026-03-24T18:28:40.992;754
2026-03-24T18:28:41.746;746
2026-03-24T18:28:42.492;739
2026-03-24T18:28:43.231;746
2026-03-24T18:28:43.977;755
2026-03-24T18:28:44.732;765
2026-03-24T18:28:45.497;777
2026-03-24T18:28:46.274;785
2026-03-24T18:28:47.059;786
2026-03-24T18:28:47.845;776
2026-03-24T18:28:48.621;771
2026-03-24T18:28:49.392;765
2026-03-24T18:28:50.157;756
2026-03-24T18:28:50.913;750
2026-03-24T18:28:51.663;741
2026-03-24T18:28:52.404;751
2026-03-24T18:28:53.155;762
2026-03-24T18:28:53.917;767
2026-03-24T18:28:54.684;770
2026-03-24T18:28:55.454;759
2026-03-24T18:28:56.213;759
2026-03-24T18:28:56.972;751
2026-03-24T18:28:57.723;737
2026-03-24T18:28:58.460;725
2026-03-24T18:28:59.185;715
2026-03-24T18:28:59.900;701
2026-03-24T18:29:00.601;688
2026-03-24T18:29:01.289;690
2026-03-24T18:29:01.979;668
2026-03-24T18:29:02.647;576
2026-03-24T18:29:03.223;767
2026-03-24T18:29:03.990;671
2026-03-24T18:29:04.661;656
2026-03-24T18:29:05.317;667
2026-03-24T18:29:05.984;648
2026-03-24T18:29:06.632;652
2026-03-24T18:29:07.284;644
2026-03-24T18:29:07.928;640
2026-03-24T18:29:08.568;622
2026-03-24T18:29:09.190;625
2026-03-24T18:29:09.815;629
2026-03-24T18:29:10.444;625
2026-03-24T18:29:11.069;642
2026-03-24T18:29:11.711;1339
2026-03-24T18:29:13.050;527
2026-03-24T18:29:13.577;859
2026-03-24T18:29:14.436;756
2026-03-24T18:29:15.192;759
2026-03-24T18:29:15.951;740
2026-03-24T18:29:16.691;643
2026-03-24T18:29:17.334;768
2026-03-24T18:29:18.102;687
2026-03-24T18:29:18.789;679
2026-03-24T18:29:19.468;677
2026-03-24T18:29:20.145;672
2026-03-24T18:29:20.817;669
2026-03-24T18:29:21.486;670
2026-03-24T18:29:22.156;673
2026-03-24T18:29:22.829;683
2026-03-24T18:29:23.512;684
2026-03-24T18:29:24.196;689
2026-03-24T18:29:24.885;715
2026-03-24T18:29:25.600;747
2026-03-24T18:29:26.347;763
2026-03-24T18:29:27.110;747
2026-03-24T18:29:27.857;737
2026-03-24T18:29:28.594;722
2026-03-24T18:29:29.316;699
2026-03-24T18:29:30.015;693
2026-03-24T18:29:30.708;671
2026-03-24T18:29:31.379;664
2026-03-24T18:29:32.043;1278
2026-03-24T18:29:33.321;5202
2026-03-24T18:29:34.228;731
2026-03-24T18:29:34.959;693
2026-03-24T18:29:35.652;701
2026-03-24T18:29:36.353;675
2026-03-24T18:29:37.028;663
2026-03-24T18:29:37.691;647
2026-03-24T18:29:38.338;639
2026-03-24T18:29:38.977;636
2026-03-24T18:29:39.613;623
2026-03-24T18:29:40.236;621
2026-03-24T18:29:40.857;620
2026-03-24T18:29:41.477;632
2026-03-24T18:29:42.109;639
2026-03-24T18:29:42.748;659
2026-03-24T18:29:43.407;683
2026-03-24T18:29:44.090;703
2026-03-24T18:29:44.793;704
2026-03-24T18:29:45.497;702
2026-03-24T18:29:46.199;690
2026-03-24T18:29:46.889;685
2026-03-24T18:29:47.574;676
2026-03-24T18:29:48.250;672
2026-03-24T18:29:48.922;674
2026-03-24T18:29:49.596;675
2026-03-24T18:29:50.271;677
2026-03-24T18:29:50.948;690
2026-03-24T18:29:51.638;698
2026-03-24T18:29:52.336;690
2026-03-24T18:29:53.026;689
2026-03-24T18:29:53.715;686
2026-03-24T18:29:54.401;681
2026-03-24T18:29:55.082;684
2026-03-24T18:29:55.766;685
2026-03-24T18:29:56.451;690
2026-03-24T18:29:57.141;697
2026-03-24T18:29:57.838;702
2026-03-24T18:29:58.540;699
2026-03-24T18:29:59.239;695
2026-03-24T18:29:59.934;684
2026-03-24T18:30:00.618;673
2026-03-24T18:30:01.291;654
2026-03-24T18:30:01.945;660
2026-03-24T18:30:02.605;662
2026-03-24T18:30:03.267;686
2026-03-24T18:30:03.953;711
2026-03-24T18:30:04.664;728
2026-03-24T18:30:05.392;739
2026-03-24T18:30:06.131;743
2026-03-24T18:30:06.874;729
2026-03-24T18:30:07.603;740
2026-03-24T18:30:08.343;743
2026-03-24T18:30:09.086;742
2026-03-24T18:30:09.828;729
2026-03-24T18:30:10.557;712
2026-03-24T18:30:11.269;693
2026-03-24T18:30:11.962;675
2026-03-24T18:30:12.637;657
2026-03-24T18:30:13.294;643
2026-03-24T18:30:13.937;636
2026-03-24T18:30:14.573;621
2026-03-24T18:30:15.194;641
2026-03-24T18:30:15.835;681
2026-03-24T18:30:16.516;835
2026-03-24T18:30:17.351;1014
2026-03-24T18:30:18.365;1004
2026-03-24T18:30:19.369;981
2026-03-24T18:30:20.350;872
2026-03-24T18:30:21.222;814
2026-03-24T18:30:22.036;778
2026-03-24T18:30:22.814;743
2026-03-24T18:30:23.557;708
2026-03-24T18:30:24.265;687
2026-03-24T18:30:24.952;669
2026-03-24T18:30:25.621;653
2026-03-24T18:30:26.274;644
2026-03-24T18:30:26.918;644
2026-03-24T18:30:27.562;639
2026-03-24T18:30:28.201;639
2026-03-24T18:30:28.840;649
2026-03-24T18:30:29.489;678
2026-03-24T18:30:30.167;705
2026-03-24T18:30:30.872;735
2026-03-24T18:30:31.607;729
2026-03-24T18:30:32.336;724
2026-03-24T18:30:33.060;723
2026-03-24T18:30:33.783;714
2026-03-24T18:30:34.497;701
2026-03-24T18:30:35.198;690
2026-03-24T18:30:35.888;673
2026-03-24T18:30:36.561;659
2026-03-24T18:30:37.220;649
2026-03-24T18:30:37.869;636
2026-03-24T18:30:38.505;644
2026-03-24T18:30:39.149;664
2026-03-24T18:30:39.813;676
2026-03-24T18:30:40.489;691
2026-03-24T18:30:41.180;687
2026-03-24T18:30:41.867;680
2026-03-24T18:30:42.547;678
2026-03-24T18:30:43.225;673
2026-03-24T18:30:43.898;661
2026-03-24T18:30:44.559;654
2026-03-24T18:30:45.213;647
2026-03-24T18:30:45.860;634
2026-03-24T18:30:46.494;632
2026-03-24T18:30:47.126;627
2026-03-24T18:30:47.753;630
2026-03-24T18:30:48.383;640
2026-03-24T18:30:49.023;654
2026-03-24T18:30:49.677;672
2026-03-24T18:30:50.349;688
2026-03-24T18:30:51.037;678
2026-03-24T18:30:51.715;682
2026-03-24T18:30:52.397;695
2026-03-24T18:30:53.092;704
2026-03-24T18:30:53.796;699
2026-03-24T18:30:54.495;702
2026-03-24T18:30:55.197;691
