Phone timestamp;RR-interval [ms]
2026-03-24T18:20:19.611;798
2026-03-24T18:20:20.409;803
2026-03-24T18:20:21.212;781
2026-03-24T18:20:21.993;789
2026-03-24T18:20:22.782;788
2026-03-24T18:20:23.570;766
2026-03-24T18:20:24.336;758
2026-03-24T18:20:25.094;751
2026-03-24T18:20:25.845;744
2026-03-24T18:20:26.589;745
2026-03-24T18:20:27.334;751
2026-03-24T18:20:28.085;765
2026-03-24T18:20:28.850;774
2026-03-24T18:20:29.624;793
2026-03-24T18:20:30.417;800
2026-03-24T18:20:31.217;799
2026-03-24T18:20:32.016;780
2026-03-24T18:20:32.796;752
2026-03-24T18:20:33.548;749
2026-03-24T18:20:34.297;775
2026-03-24T18:20:35.072;786
2026-03-24T18:20:35.858;768
2026-03-24T18:20:36.626;748
2026-03-24T18:20:37.374;746
2026-03-24T18:20:38.120;749
2026-03-24T18:20:38.869;756
2026-03-24T18:20:39.625;771
2026-03-24T18:20:40.396;751
2026-03-24T18:20:41.147;749
2026-03-24T18:20:41.896;770
2026-03-24T18:20:42.666;789
2026-03-24T18:20:43.455;835
2026-03-24T18:20:44.290;877
2026-03-24T18:20:45.167;882
2026-03-24T18:20:46.049;855
2026-03-24T18:20:46.904;817
2026-03-24T18:20:47.721;782
2026-03-24T18:20:48.503;769
2026-03-24T18:20:49.272;738
2026-03-24T18:20:50.010;733
2026-03-24T18:20:50.743;729
2026-03-24T18:20:51.472;740
2026-03-24T18:20:52.212;778
2026-03-24T18:20:52.990;1018
2026-03-24T18:20:54.008;1030
2026-03-24T18:20:55.038;960
2026-03-24T18:20:55.998;862
2026-03-24T18:20:56.860;798
2026-03-24T18:20:57.658;768
2026-03-24T18:20:58.426;739
2026-03-24T18:20:59.165;720
2026-03-24T18:20:59.885;711
2026-03-24T18:21:00.596;701
2026-03-24T18:21:01.297;692
2026-03-24T18:21:01.989;697
2026-03-24T18:21:02.686;706
2026-03-24T18:21:03.392;728
2026-03-24T18:21:04.120;777
2026-03-24T18:21:04.897;843
2026-03-24T18:21:05.740;883
2026-03-24T18:21:06.623;861
2026-03-24T18:21:07.484;860
2026-03-24T18:21:08.344;835
2026-03-24T18:21:09.179;847
2026-03-24T18:21:10.026;822
2026-03-24T18:21:10.848;803
2026-03-24T18:21:11.651;784
2026-03-24T18:21:12.435;782
2026-03-24T18:21:13.217;775
2026-03-24T18:21:13.992;758
2026-03-24T18:21:14.750;754
2026-03-24T18:21:15.504;745
2026-03-24T18:21:16.249;754
2026-03-24T18:21:17.003;746
2026-03-24T18:21:17.749;754
2026-03-24T18:21:18.503;765
2026-03-24T18:21:19.268;774
