t_offset_ms,bpm,breathing_rpm
0,63,
959,63,
1920,63,
2872,63,
3834,63,
4792,63,
5773,63,
6712,64,
7693,65,
8654,65,
9612,66,
10554,68,
11521,68,
12955,69,
13920,70,
14875,71,
15914,71,
16795,72,
17812,73,
18769,74,
20652,74,
21116,75,
21595,75,
22571,75,
23533,75,
25015,75,
25939,75,
26879,75,
27853,77,
28811,77,
29756,79,
30717,80,
31675,84,
32651,85,
33613,85,
35533,85,
36002,86,
36956,86,
37917,86,
39362,86,
39834,86,
41278,86,
41752,86,
42734,86,
43693,86,
44653,85,
45614,85,
47034,85,
47533,85,
48957,85,
49982,85,
50923,85,
51913,85,
53336,84,
53754,83,
54785,82,
55755,80,
56741,80,
58625,80,
58626,81,
59571,83,
61038,85,
61978,86,
62965,88,
63843,89,
65293,90,
65771,91,
67695,92,
67699,92,
68653,91,
69613,91,
70629,91,
71586,91,
73019,91,
73984,91,
74894,91,
75853,91,
76886,90,
77815,90,
78784,90,
79746,91,
80702,91,
81658,91,
82571,91,
83579,90,
85023,89,
85988,87,
86939,87,
87903,86,
88858,86,
90783,87,
90784,87,
91692,87,
92653,86,
93613,86,
94572,86,
95533,87,
96972,88,
97982,89,
98973,90,
99938,91,
100810,91,
101773,92,
102733,91,
103742,90,
105652,89,
105653,88,
106617,88,
107572,88,
109027,89,
109986,90,
110948,90,
111898,91,
112867,90,
114786,88,
114787,86,
115739,84,
116703,84,
117659,83,
118573,84,
119578,83,
121027,83,
121915,82,
122945,81,
123882,81,
124860,81,
125828,82,
126733,82,
127694,82,
128651,83,
129610,83,
130573,82,
131533,80,
133453,80,
133930,79,
134894,78,
135904,78,
136856,77,
137816,77,
138775,77,
139736,77,
140686,78,
141660,77,
142618,77,
143581,76,
145026,75,
145981,75,
146936,75,
147899,75,
148852,75,
150780,75,
150781,76,
152651,76,
152653,76,
153664,77,
154585,77,
155585,77,
157019,78,
157982,78,
158937,79,
159923,79,
160866,80,
161820,80,
162781,80,
163732,80,
164701,80,
165667,80,
166572,81,
167584,82,
169021,82,
169971,82,
170940,82,
171903,82,
172861,82,
173773,83,
174780,84,
175731,84,
176699,85,
177662,85,
178620,85,
179591,84,
181020,82,
181983,82,
182943,81,
184855,80,
184856,80,
185820,80,
186776,80,
187740,80,
188702,80,
189668,80,
190621,79,
191580,79,
193017,79,
193983,79,
194940,79,
195899,80,
196859,82,
197824,84,
199746,85,
199747,86,
200698,88,
201658,89,
202616,90,
203588,91,
205985,91,
205986,90,
206951,90,
208383,89,
208813,89,
210777,89,
210778,89,
211737,89,
212698,88,
213658,88,
214604,87,
215533,87,
217015,86,
217977,84,
218938,83,
219887,82,
220804,81,
221820,81,
222778,81,
223736,81,
224704,81,
225653,81,
226618,80,
227582,80,
228974,80,
229934,81,
230940,81,
231873,81,
232852,82,
233814,82,
234779,82,
235746,83,
237663,83,
237664,83,
239095,84,
239538,84,
241028,84,
241977,84,
242940,85,
243895,86,
245820,86,
245821,87,
246782,88,
247738,89,
248695,89,
249662,90,
250622,90,
251584,90,
253022,89,
253977,85,
254944,83,
255905,82,
256867,81,
257824,81,
258788,81,
259738,82,
260709,82,
261668,83,
262630,83,
263584,83,
265017,83,
265982,80,
267419,79,
267909,79,
268866,79,
269819,79,
270779,79,
271740,79,
272700,79,
273659,79,
274632,77,
275593,77,
277030,76,
277983,75,
278939,75,
280378,76,
280812,76,
281820,76,
282773,75,
284687,74,
284688,73,
285670,71,
286622,70,
287584,70,
289027,70,
289985,70,
290941,72,
291908,73,
292857,73,
293820,73,
295695,73,
295698,73,
296656,72,
297614,72,
298621,71,
299583,72,
301504,72,
301932,73,
302936,73,
303896,74,
305825,73,
305826,74,
306793,75,
307745,76,
308699,78,
309663,79,
310621,81,
311583,84,
313024,85,
313993,86,
314893,88,
315907,88,
316860,86,
317817,86,
318779,86,
319740,86,
320698,87,
321670,88,
322572,89,
323535,90,
325027,91,
325987,90,
326942,88,
327902,82,
328862,80,
330785,80,
330786,80,
331746,81,
332702,81,
333652,81,
334583,80,
335578,80,
337018,80,
