t_offset_ms,rr_interval_ms,bpm_instantane
0,936,64
936,938,64
1874,968,62
2842,914,66
3756,958,63
4714,935,64
5649,902,67
6551,846,71
7397,844,71
8241,828,72
9069,799,75
9868,790,76
10658,807,74
11465,825,73
12290,792,76
13082,778,77
13860,791,76
14651,828,72
15479,800,75
16279,808,74
17087,779,77
17866,792,76
18658,742,81
19400,292,205
19692,495,121
20187,715,84
20902,739,81
21641,713,84
22354,1042,58
23396,7520,8
22326,639,94
22965,639,94
23604,672,89
24276,685,88
24961,708,85
25669,692,87
26361,687,87
27048,702,85
27750,701,86
28451,691,87
29142,689,87
29831,695,86
30526,703,85
31229,699,86
31928,691,87
32619,698,86
33317,703,85
34020,703,85
34723,697,86
35420,716,84
36136,727,83
36863,713,84
37576,710,85
38286,705,85
38991,717,84
39708,725,83
40433,713,84
41146,698,86
41844,682,88
42526,692,87
43218,727,83
43945,800,75
44745,799,75
45544,805,75
46349,838,72
47187,805,75
47992,752,80
48744,729,82
49473,709,85
50182,693,87
50875,676,89
51551,666,90
52217,649,92
52866,650,92
53516,642,93
54158,640,94
54798,638,94
55436,633,95
56069,633,95
56702,630,95
57332,633,95
57965,637,94
58602,643,93
59245,640,94
59885,667,90
60552,698,86
61250,666,90
61916,664,90
62580,668,90
63248,661,91
63909,655,92
64563,654,92
65218,652,92
65870,661,91
66531,672,89
67203,672,89
67875,675,89
68550,675,89
69225,676,89
69901,664,90
70565,652,92
71217,651,92
71868,646,93
72514,640,94
73154,648,93
73802,680,88
74482,707,85
75189,717,84
75906,718,84
76624,729,82
77353,722,83
78075,715,84
78790,702,85
79492,693,87
80185,680,88
80865,687,87
81552,684,88
82236,688,87
82924,701,86
83625,708,85
84333,707,85
85040,705,85
85745,696,86
86441,681,88
87122,669,90
87791,664,90
88455,660,91
89115,650,92
89765,640,94
90405,639,94
91044,639,94
91683,642,93
92325,639,94
92964,646,93
93610,664,90
94274,684,88
94958,699,86
95657,693,87
96350,690,87
97040,706,85
97746,695,86
98441,681,88
99122,671,89
99793,668,90
100461,661,91
101122,650,92
101772,644,93
102416,642,93
103058,645,93
103703,651,92
104354,749,80
105103,807,74
105910,802,75
106712,780,77
107492,764,79
108256,737,81
108993,715,84
109708,703,85
110411,732,82
111143,754,80
111897,759,79
112656,780,77
113436,783,77
114219,769,78
114988,746,80
115734,732,82
116466,717,84
117183,705,85
117888,706,85
118594,712,84
119306,714,84
120020,713,84
120733,741,81
121474,786,76
122260,815,74
123075,834,72
123909,844,71
124753,835,72
125588,809,74
126397,795,75
127192,807,74
127999,795,75
128794,771,78
129565,767,78
130332,769,78
131101,759,79
131860,766,78
132626,809,74
133435,849,71
134284,836,72
135120,854,70
135974,873,69
136847,829,72
137676,814,74
138490,799,75
139289,770,78
140059,758,79
140817,774,78
141591,782,77
142373,771,78
143144,757,79
143901,766,78
144667,778,77
145445,756,79
146201,740,81
146941,732,82
147673,742,81
148415,747,80
149162,739,81
149901,725,83
150626,728,82
151354,729,82
152083,722,83
152805,715,84
153520,732,82
154252,765,78
155017,773,78
155790,751,80
156541,733,82
157274,720,83
157994,706,85
158700,697,86
159397,694,86
160091,714,84
160805,729,82
161534,724,83
162258,725,83
162983,750,80
163733,729,82
164462,710,85
165172,690,87
165862,681,88
166543,682,88
167225,686,87
167911,687,87
168598,682,88
169280,700,86
169980,754,80
170734,785,76
171519,778,77
172297,778,77
173075,809,74
173884,811,74
174695,781,77
175476,762,79
176238,756,79
176994,751,80
177745,756,79
178501,746,80
179247,750,80
179997,760,79
180757,786,76
181543,785,76
182328,779,77
183107,782,77
183889,779,77
184668,750,80
185418,651,92
186069,398,151
186467,385,156
186852,688,87
187540,690,87
188230,679,88
188909,678,88
189587,675,89
190262,665,90
190927,659,91
191586,656,91
192242,653,92
192895,641,94
193536,639,94
194175,634,95
194809,636,94
195445,642,93
196087,660,91
196747,677,89
197424,687,87
198111,693,87
198804,686,87
199490,680,88
200170,682,88
200852,682,88
201534,681,88
202215,670,90
202885,684,88
203569,688,87
204257,678,88
204935,697,86
205632,691,87
206323,738,81
207061,721,83
207782,728,82
208510,759,79
209269,807,74
210076,794,76
210870,786,76
211656,774,78
212430,768,78
213198,750,80
213948,735,82
214683,743,81
215426,760,79
216186,766,78
216952,757,79
217709,766,78
218475,762,79
219237,754,80
219991,733,82
220724,719,83
221443,728,82
222171,725,83
222896,714,84
223610,720,83
224330,719,83
225049,720,83
225769,707,85
226476,699,86
227175,707,85
227882,710,85
228592,700,86
229292,707,85
229999,710,85
230709,711,84
231420,708,85
232128,699,86
232827,701,86
233528,688,87
234216,684,88
234900,673,89
235573,673,89
236246,665,90
236911,660,91
237571,663,90
238234,665,90
238899,662,91
239561,659,91
240220,655,92
240875,651,92
241526,652,92
242178,671,89
242849,694,86
243543,755,79
244298,835,72
245133,836,72
245969,834,72
246803,827,73
247630,789,76
248419,770,78
249189,734,82
249923,722,83
250645,706,85
251351,698,86
252049,697,86
252746,694,86
253440,711,84
254151,706,85
254857,716,84
255573,823,73
256396,900,67
257296,841,71
258137,801,75
258938,772,78
259709,766,78
260476,769,78
261245,758,79
262003,745,81
262748,735,82
263483,748,80
264231,829,72
265060,853,70
265913,843,71
266756,880,68
267636,884,68
268520,839,72
269359,784,77
270143,753,80
270896,732,82
271628,753,80
272381,889,67
273270,932,64
274202,924,65
275126,1025,59
276151,1037,58
277188,948,63
278136,897,67
279033,854,70
279887,811,74
280698,776,77
281474,768,78
282242,757,79
282999,751,80
283750,771,78
284521,855,70
285376,848,71
286224,882,68
287106,847,71
287953,879,68
288832,889,67
289721,844,71
290565,807,74
291372,785,76
292157,774,78
292931,770,78
293701,776,77
294477,806,74
295283,841,71
296124,815,74
296939,786,76
297725,748,80
298473,725,83
299198,701,86
299899,709,85
300608,677,89
301285,665,90
301950,649,92
302599,642,93
303241,641,94
303882,638,94
304520,639,94
305159,634,95
305793,658,91
306451,669,90
307120,707,85
307827,732,82
308559,723,83
309282,695,86
309977,701,86
310678,685,88
311363,677,89
312040,668,90
312708,662,91
313370,651,92
314021,643,93
314664,636,94
315300,639,94
315939,646,93
316585,654,92
317239,727,83
317966,843,71
318809,840,71
319649,820,73
320469,788,76
321257,742,81
321999,718,84
322717,704,85
323421,721,83
324142,753,80
324895,784,77
325679,783,77
326462,756,79
327218,758,79
327976,749,80
328725,729,82
329454,715,84
330169,729,82
330898,739,81
331637,750,80
332387,761,79
333148,754,80
333902,766,78
334668,795,75
335463,806,74
336269,816,74
337085,853,70
337938,849,71
338787,822,73
339609,835,72
340444,824,73
341268,811,74
342079,813,74
342892,830,72
343722,839,72
344561,842,71
345403,821,73
346224,824,73
347048,845,71
347893,840,71
348733,825,73
349558,808,74
350366,766,78
351132,744,81
351876,734,82
352610,737,81
353347,727,83
354074,760,79
354834,798,75
355632,822,73
356454,808,74
357262,784,77
358046,749,80
358795,733,82
359528,713,84
360241,690,87
360931,692,87
361623,706,85
362329,742,81
363071,773,78
363844,912,66
364756,957,63
365713,951,63
366664,936,64
367600,875,69
368475,813,74
369288,777,77
370065,739,81
370804,721,83
371525,712,84
372237,717,84
372954,730,82
373684,756,79
374440,802,75
375242,856,70
376098,853,70
376951,841,71
377792,825,73
378617,806,74
379423,772,78
380195,773,78
380968,756,79
381724,763,79
382487,777,77
383264,786,76
384050,775,77
384825,781,77
385606,760,79
386366,782,77
387148,837,72
387985,842,71
388827,814,74
389641,785,76
390426,786,76
391212,792,76
392004,786,76
392790,784,77
393574,785,76
394359,765,78
395124,753,80
395877,736,82
396613,705,85
397318,681,88
397999,685,88
398684,673,89
399357,672,89
400029,663,90
400692,666,90
401358,655,92
402013,652,92
402665,667,90
403332,677,89
404009,689,87
404698,703,85
405401,724,83
406125,729,82
406854,726,83
407580,716,84
408296,686,87
408982,688,87
409670,706,85
410376,701,86
411077,690,87
411767,683,88
412450,678,88
413128,675,89
413803,664,90
414467,658,91
415125,644,93
415769,645,93
416414,632,95
417046,625,96
417671,606,99
418277,613,98
418890,609,99
419499,604,99
420103,608,99
420711,610,98
421321,618,97
421939,625,96
422564,641,94
423205,643,93
423848,655,92
424503,658,91
425161,655,92
425816,650,92
426466,653,92
427119,655,92
427774,665,90
428439,665,90
429104,657,91
429761,651,92
430412,648,93
431060,646,93
431706,644,93
432350,643,93
432993,647,93
433640,644,93
434284,647,93
434931,652,92
435583,659,91
436242,669,90
436911,675,89
437586,691,87
438277,710,85
438987,710,85
439697,718,84
440415,723,83
441138,723,83
441861,725,83
442586,739,81
443325,757,79
444082,754,80
444836,782,77
445618,837,72
446455,846,71
447301,833,72
448134,767,78
448901,745,81
449646,693,87
450339,689,87
451028,662,91
451690,656,91
452346,647,93
452993,631,95
453624,617,97
454241,620,97
454861,611,98
455472,604,99
456076,599,100
456675,601,100
457276,605,99
457881,614,98
458495,629,95
459124,647,93
459771,652,92
460423,650,92
461073,674,89
461747,687,87
462434,688,87
463122,730,82
463852,702,85
464554,706,85
465260,699,86
465959,693,87
466652,688,87
467340,675,89
468015,665,90
468680,661,91
469341,654,92
469995,669,90
470664,727,83
471391,852,70
472243,866,69
473109,816,74
473925,784,77
474709,727,83
475436,863,70
476299,795,75
477094,766,78
477860,740,81
478600,732,82
479332,722,83
480054,726,83
480780,746,80
481526,740,81
482266,728,82
482994,704,85
483698,681,88
484379,671,89
485050,669,90
485719,666,90
486385,704,85
487089,770,78
487859,801,75
488660,863,70
489523,865,69
490388,824,73
491212,768,78
491980,743,81
492723,716,84
493439,690,87
494129,692,87
494821,703,85
495524,722,83
496246,746,80
496992,809,74
497801,883,68
498684,883,68
499567,845,71
500412,801,75
501213,781,77
501994,775,77
502769,769,78
503538,765,78
504303,758,79
505061,757,79
505818,757,79
506575,759,79
507334,749,80
508083,770,78
508853,755,79
509608,783,77
510391,771,78
511162,788,76
511950,785,76
512735,788,76
513523,773,78
514296,752,80
515048,745,81
515793,720,83
516513,695,86
517207,667,90
517875,667,90
518542,650,92
519192,633,95
519825,649,92
520474,645,93
521119,673,89
