t_offset_ms,bpm,breathing_rpm
0,63,
960,64,
1921,63,
2881,63,
3829,63,
4799,62,
5760,61,
6720,60,
7681,60,
8641,60,
9601,60,
11040,60,
12000,60,
12961,60,
13920,60,
14881,59,
15840,58,
16577,58,
17595,58,
18601,59,
19590,59,
20610,59,
21587,59,
22580,60,
23611,59,
24601,59,
25581,59,
26597,59,
27601,58,
28590,58,
29612,58,
30591,58,
31576,57,
32640,57,
33600,57,
34581,57,
35599,57,
36600,56,
37591,56,
38611,56,
39599,55,
40573,55,
41611,55,
42601,55,
43580,55,
44629,56,
45614,57,
46591,58,
47611,58,
48589,58,
49577,58,
50611,58,
51601,58,
52591,58,
53599,59,
54584,58,
55621,58,
56611,57,
57600,57,
58579,57,
59595,56,
60601,55,
61590,55,
62600,55,
63586,54,
64590,54,
65611,54,
66601,54,
67581,54,
68593,54,
69600,54,
70591,55,
71610,55,
72591,55,
73594,55,
74617,55,
75603,55,
76581,56,
77631,56,
78635,57,
79594,57,
80614,57,
81593,56,
82577,56,
83614,56,
84602,56,
85621,56,
86598,56,
87605,56,
88624,55,
89613,55,
