t_offset_ms,rr_interval_ms,bpm_instantane
0,935,64
935,972,62
1907,991,61
2898,1118,54
4016,1187,51
5203,1097,55
6300,1024,59
7324,1071,56
8395,1065,56
9460,974,62
10434,994,60
11428,982,61
12410,1109,54
13519,1115,54
14634,1125,53
15759,1090,55
16849,1002,60
17851,960,62
18811,979,61
19790,943,64
20733,942,64
21675,1009,59
22684,1104,54
23788,1106,54
24894,1029,58
25923,1063,56
26986,1109,54
28095,1076,56
29171,1029,58
30200,1094,55
31294,1197,50
32491,1052,57
33543,1040,58
34583,1097,55
35680,1172,51
36852,1115,54
37967,1165,52
39132,1218,49
40350,1166,51
41516,1056,57
42572,1063,56
43635,980,61
44615,929,65
45544,922,65
46466,922,65
47388,1014,59
48402,1100,55
49502,1015,59
50517,989,61
51506,981,61
52487,1030,58
53517,1126,53
54643,1146,52
55789,1114,54
56903,1199,50
58102,1273,47
59375,1160,52
60535,1101,54
61636,1188,51
62824,1180,51
64004,1053,57
65057,1113,54
66170,1140,53
67310,1095,55
68405,1031,58
69436,1033,58
70469,1087,55
71556,1091,55
72647,1024,59
73671,1082,55
74753,1065,56
75818,991,61
76809,1003,60
77812,984,61
78796,1057,57
79853,1158,52
81011,1078,56
82089,1133,53
83222,1145,52
84367,1099,55
85466,1048,57
86514,1096,55
87610,1153,52
88763,1182,51
89945,1130,53
