Phone timestamp;RR-interval [ms]
2026-03-27T16:12:54.278;396
2026-03-27T16:12:54.674;394
2026-03-27T16:12:55.068;395
2026-03-27T16:12:55.463;398
2026-03-27T16:12:55.861;392
2026-03-27T16:12:56.253;396
2026-03-27T16:12:56.649;394
2026-03-27T16:12:57.043;397
2026-03-27T16:12:57.440;396
2026-03-27T16:12:57.836;395
2026-03-27T16:12:58.231;400
2026-03-27T16:12:58.631;395
2026-03-27T16:12:59.026;399
2026-03-27T16:12:59.425;398
2026-03-27T16:12:59.823;394
2026-03-27T16:13:00.217;399
2026-03-27T16:13:00.616;398
2026-03-27T16:13:01.014;396
2026-03-27T16:13:01.410;400
2026-03-27T16:13:01.810;394
2026-03-27T16:13:02.204;398
2026-03-27T16:13:02.602;397
2026-03-27T16:13:02.999;397
2026-03-27T16:13:03.396;397
2026-03-27T16:13:03.793;397
2026-03-27T16:13:04.190;401
2026-03-27T16:13:04.591;397
2026-03-27T16:13:04.988;397
2026-03-27T16:13:05.385;400
2026-03-27T16:13:05.785;398
2026-03-27T16:13:06.183;398
2026-03-27T16:13:06.581;404
2026-03-27T16:13:06.985;399
2026-03-27T16:13:07.384;400
2026-03-27T16:13:07.784;400
2026-03-27T16:13:08.184;399
2026-03-27T16:13:08.583;402
2026-03-27T16:13:08.985;401
2026-03-27T16:13:09.386;401
2026-03-27T16:13:09.787;402
2026-03-27T16:13:10.189;403
2026-03-27T16:13:10.592;403
2026-03-27T16:13:10.995;403
2026-03-27T16:13:11.398;408
2026-03-27T16:13:11.806;404
2026-03-27T16:13:12.210;409
2026-03-27T16:13:12.619;814
2026-03-27T16:13:13.433;410
2026-03-27T16:13:13.843;407
2026-03-27T16:13:14.250;413
2026-03-27T16:13:14.663;409
2026-03-27T16:13:15.072;410
2026-03-27T16:13:15.482;413
2026-03-27T16:13:15.895;413
2026-03-27T16:13:16.308;412
2026-03-27T16:13:16.720;413
2026-03-27T16:13:17.133;415
2026-03-27T16:13:17.548;411
2026-03-27T16:13:17.959;415
2026-03-27T16:13:18.374;417
2026-03-27T16:13:18.791;417
2026-03-27T16:13:19.208;414
2026-03-27T16:13:19.622;416
2026-03-27T16:13:20.038;419
2026-03-27T16:13:20.457;417
2026-03-27T16:13:20.874;417
2026-03-27T16:13:21.291;417
2026-03-27T16:13:21.708;415
2026-03-27T16:13:22.123;419
2026-03-27T16:13:22.542;419
2026-03-27T16:13:22.961;420
2026-03-27T16:13:23.381;419
2026-03-27T16:13:23.800;422
2026-03-27T16:13:24.222;423
2026-03-27T16:13:24.645;426
2026-03-27T16:13:25.071;422
2026-03-27T16:13:25.493;427
2026-03-27T16:13:25.920;426
2026-03-27T16:13:26.346;428
2026-03-27T16:13:26.774;437
2026-03-27T16:13:27.211;433
2026-03-27T16:13:27.644;435
2026-03-27T16:13:28.079;434
2026-03-27T16:13:28.513;432
2026-03-27T16:13:28.945;439
2026-03-27T16:13:29.384;437
2026-03-27T16:13:29.821;444
2026-03-27T16:13:30.265;438
2026-03-27T16:13:30.703;442
2026-03-27T16:13:31.145;442
2026-03-27T16:13:31.587;441
2026-03-27T16:13:32.028;443
2026-03-27T16:13:32.471;446
