Phone timestamp;RR-interval [ms]
2026-03-27T14:55:45.100;654
2026-03-27T14:55:45.754;650
2026-03-27T14:55:46.404;641
2026-03-27T14:55:47.045;626
2026-03-27T14:55:47.671;631
2026-03-27T14:55:48.302;622
2026-03-27T14:55:48.924;625
2026-03-27T14:55:49.549;638
2026-03-27T14:55:50.187;650
2026-03-27T14:55:50.837;663
2026-03-27T14:55:51.500;686
2026-03-27T14:55:52.186;715
2026-03-27T14:55:52.901;727
2026-03-27T14:55:53.628;735
2026-03-27T14:55:54.363;714
2026-03-27T14:55:55.077;712
2026-03-27T14:55:55.789;704
2026-03-27T14:55:56.493;694
2026-03-27T14:55:57.187;703
2026-03-27T14:55:57.890;717
2026-03-27T14:55:58.607;740
2026-03-27T14:55:59.347;803
2026-03-27T14:56:00.150;847
2026-03-27T14:56:00.997;893
2026-03-27T14:56:01.890;872
2026-03-27T14:56:02.762;808
2026-03-27T14:56:03.570;779
2026-03-27T14:56:04.349;759
2026-03-27T14:56:05.108;766
2026-03-27T14:56:05.874;765
2026-03-27T14:56:06.639;783
2026-03-27T14:56:07.422;821
2026-03-27T14:56:08.243;849
2026-03-27T14:56:09.092;863
2026-03-27T14:56:09.955;849
2026-03-27T14:56:10.804;825
2026-03-27T14:56:11.629;790
2026-03-27T14:56:12.419;780
2026-03-27T14:56:13.199;764
2026-03-27T14:56:13.963;755
2026-03-27T14:56:14.718;731
2026-03-27T14:56:15.449;756
2026-03-27T14:56:16.205;744
2026-03-27T14:56:16.949;738
2026-03-27T14:56:17.687;768
2026-03-27T14:56:18.455;763
2026-03-27T14:56:19.218;763
2026-03-27T14:56:19.981;734
2026-03-27T14:56:20.715;715
2026-03-27T14:56:21.430;688
2026-03-27T14:56:22.118;688
2026-03-27T14:56:22.806;718
2026-03-27T14:56:23.524;785
2026-03-27T14:56:24.309;823
2026-03-27T14:56:25.132;855
2026-03-27T14:56:25.987;890
2026-03-27T14:56:26.877;851
2026-03-27T14:56:27.728;832
2026-03-27T14:56:28.560;782
2026-03-27T14:56:29.342;756
2026-03-27T14:56:30.098;764
2026-03-27T14:56:30.862;864
2026-03-27T14:56:31.726;930
2026-03-27T14:56:32.656;938
2026-03-27T14:56:33.594;946
2026-03-27T14:56:34.540;854
2026-03-27T14:56:35.394;808
2026-03-27T14:56:36.202;767
2026-03-27T14:56:36.969;756
2026-03-27T14:56:37.725;730
2026-03-27T14:56:38.455;744
2026-03-27T14:56:39.199;711
2026-03-27T14:56:39.910;715
2026-03-27T14:56:40.625;704
2026-03-27T14:56:41.329;687
2026-03-27T14:56:42.016;676
2026-03-27T14:56:42.692;656
2026-03-27T14:56:43.348;645
2026-03-27T14:56:43.993;637
2026-03-27T14:56:44.630;626
2026-03-27T14:56:45.256;619
2026-03-27T14:56:45.875;604
2026-03-27T14:56:46.479;601
2026-03-27T14:56:47.080;595
2026-03-27T14:56:47.675;590
2026-03-27T14:56:48.265;588
2026-03-27T14:56:48.853;589
2026-03-27T14:56:49.442;584
2026-03-27T14:56:50.026;586
2026-03-27T14:56:50.612;594
2026-03-27T14:56:51.206;589
2026-03-27T14:56:51.795;583
2026-03-27T14:56:52.378;590
2026-03-27T14:56:52.968;588
2026-03-27T14:56:53.556;588
2026-03-27T14:56:54.144;587
2026-03-27T14:56:54.731;581
2026-03-27T14:56:55.312;586
2026-03-27T14:56:55.898;576
2026-03-27T14:56:56.474;568
2026-03-27T14:56:57.042;574
2026-03-27T14:56:57.616;571
2026-03-27T14:56:58.187;574
2026-03-27T14:56:58.761;578
2026-03-27T14:56:59.339;581
2026-03-27T14:56:59.920;591
2026-03-27T14:57:00.511;642
2026-03-27T14:57:01.153;692
2026-03-27T14:57:01.845;697
2026-03-27T14:57:02.542;706
